balloon_id,balloon_color,pop_time,strategy_name,threshold,end_PnL
0,purple,1,average_balloon,1,0
1,red,4,average_balloon,1,1
2,purple,1,average_balloon,1,1
3,red,1,average_balloon,1,1
4,orange,1,average_balloon,1,1
5,orange,1,average_balloon,1,1
6,orange,1,average_balloon,1,1
7,purple,1,average_balloon,1,1
8,orange,3,average_balloon,1,2
9,blue,3,average_balloon,1,3
10,orange,1,average_balloon,1,3
11,blue,1,average_balloon,1,3
12,orange,2,average_balloon,1,4
13,purple,1,average_balloon,1,4
14,orange,1,average_balloon,1,4
15,purple,2,average_balloon,1,5
16,red,10,average_balloon,1,6
17,purple,1,average_balloon,1,6
18,red,2,average_balloon,1,7
19,blue,1,average_balloon,1,7
20,orange,2,average_balloon,1,8
21,purple,1,average_balloon,1,8
22,purple,1,average_balloon,1,8
23,purple,1,average_balloon,1,8
24,red,1,average_balloon,1,8
25,orange,1,average_balloon,1,8
26,orange,1,average_balloon,1,8
27,red,1,average_balloon,1,8
28,orange,1,average_balloon,1,8
29,purple,1,average_balloon,1,8
30,purple,1,average_balloon,1,8
31,purple,1,average_balloon,1,8
32,red,10,average_balloon,1,9
33,red,1,average_balloon,1,9
34,blue,3,average_balloon,1,10
35,purple,1,average_balloon,1,10
36,orange,1,average_balloon,1,10
37,orange,2,average_balloon,1,11
38,purple,1,average_balloon,1,11
39,blue,5,average_balloon,1,12
40,orange,1,average_balloon,1,12
41,red,6,average_balloon,1,13
42,red,5,average_balloon,1,14
43,blue,3,average_balloon,1,15
44,purple,1,average_balloon,1,15
45,blue,1,average_balloon,1,15
46,blue,1,average_balloon,1,15
47,purple,2,average_balloon,1,16
48,purple,1,average_balloon,1,16
49,blue,3,average_balloon,1,17
50,orange,1,average_balloon,1,17
51,orange,1,average_balloon,1,17
52,blue,1,average_balloon,1,17
53,purple,1,average_balloon,1,17
54,purple,1,average_balloon,1,17
55,blue,9,average_balloon,1,18
56,blue,2,average_balloon,1,19
57,orange,1,average_balloon,1,19
