balloon_id,balloon_color,pop_time,strategy_name,threshold,end_PnL
0,purple,1,guess_9,8,0
1,red,4,guess_9,4,0
2,purple,1,guess_9,1,0
3,red,1,guess_9,3,0
4,orange,1,guess_9,7,0
5,orange,1,guess_9,6,0
6,orange,1,guess_9,4,0
7,purple,1,guess_9,2,0
8,orange,3,guess_9,3,0
9,blue,3,guess_9,7,0
10,orange,1,guess_9,4,0
11,blue,1,guess_9,1,0
12,orange,2,guess_9,3,0
13,purple,1,guess_9,3,0
14,orange,1,guess_9,1,0
15,purple,2,guess_9,1,1
16,red,10,guess_9,5,6
17,purple,1,guess_9,8,6
18,red,2,guess_9,4,6
19,blue,1,guess_9,3,6
20,orange,2,guess_9,5,6
21,purple,1,guess_9,5,6
22,purple,1,guess_9,1,6
23,purple,1,guess_9,8,6
24,red,1,guess_9,3,6
25,orange,1,guess_9,5,6
26,orange,1,guess_9,2,6
27,red,1,guess_9,3,6
28,orange,1,guess_9,1,6
29,purple,1,guess_9,7,6
30,purple,1,guess_9,7,6
31,purple,1,guess_9,5,6
32,red,10,guess_9,3,9
33,red,1,guess_9,1,9
34,blue,3,guess_9,1,10
35,purple,1,guess_9,7,10
36,orange,1,guess_9,5,10
37,orange,2,guess_9,8,10
38,purple,1,guess_9,5,10
39,blue,5,guess_9,2,12
40,orange,1,guess_9,6,12
41,red,6,guess_9,2,14
42,red,5,guess_9,3,17
43,blue,3,guess_9,2,19
44,purple,1,guess_9,3,19
45,blue,1,guess_9,5,19
46,blue,1,guess_9,6,19
47,purple,2,guess_9,3,19
48,purple,1,guess_9,5,19
49,blue,3,guess_9,3,19
50,orange,1,guess_9,6,19
51,orange,1,guess_9,8,19
52,blue,1,guess_9,3,19
53,purple,1,guess_9,5,19
54,purple,1,guess_9,6,19
55,blue,9,guess_9,1,20
56,blue,2,guess_9,3,20
57,orange,1,guess_9,1,20
58,red,1,guess_9,3,20
59,blue,2,guess_9,8,20
60,blue,1,guess_9,4,20
61,purple,1,guess_9,3,20
62,blue,2,guess_9,8,20
63,blue,3,guess_9,8,20
64,orange,1,guess_9,2,20
65,red,11,guess_9,3,23
66,red,4,guess_9,4,23
67,purple,1,guess_9,1,23
68,blue,8,guess_9,1,24
69,purple,1,guess_9,3,24
70,purple,2,guess_9,1,25
71,red,3,guess_9,1,26
72,blue,3,guess_9,3,26
73,red,7,guess_9,3,29
74,blue,2,guess_9,2,29
75,orange,1,guess_9,6,29
76,orange,5,guess_9,4,33
77,purple,1,guess_9,7,33
78,blue,8,guess_9,8,33
79,red,5,guess_9,4,37
80,red,6,guess_9,6,37
81,red,1,guess_9,6,37
82,orange,1,guess_9,5,37
83,orange,1,guess_9,1,37
84,blue,2,guess_9,3,37
