balloon_id,balloon_color,pop_time,strategy_name,threshold,end_PnL
0,purple,1,oracle,1,0
1,red,4,oracle,4,0
2,purple,1,oracle,1,0
3,red,1,oracle,4,0
4,orange,1,oracle,1,0
5,orange,1,oracle,1,0
6,orange,1,oracle,1,0
7,purple,1,oracle,1,0
8,orange,3,oracle,1,1
9,blue,3,oracle,2,3
10,orange,1,oracle,1,3
11,blue,1,oracle,2,3
12,orange,2,oracle,1,4
13,purple,1,oracle,1,4
14,orange,1,oracle,1,4
15,purple,2,oracle,1,5
16,red,10,oracle,4,9
17,purple,1,oracle,1,9
18,red,2,oracle,4,9
19,blue,1,oracle,2,9
20,orange,2,oracle,1,10
21,purple,1,oracle,1,10
22,purple,1,oracle,1,10
23,purple,1,oracle,1,10
24,red,1,oracle,4,10
25,orange,1,oracle,1,10
26,orange,1,oracle,1,10
27,red,1,oracle,4,10
28,orange,1,oracle,1,10
29,purple,1,oracle,1,10
30,purple,1,oracle,1,10
31,purple,1,oracle,1,10
32,red,10,oracle,4,14
33,red,1,oracle,4,14
34,blue,3,oracle,2,16
35,purple,1,oracle,1,16
36,orange,1,oracle,1,16
37,orange,2,oracle,1,17
38,purple,1,oracle,1,17
39,blue,5,oracle,2,19
40,orange,1,oracle,1,19
41,red,6,oracle,4,23
42,red,5,oracle,4,27
43,blue,3,oracle,2,29
44,purple,1,oracle,1,29
45,blue,1,oracle,2,29
46,blue,1,oracle,2,29
47,purple,2,oracle,1,30
48,purple,1,oracle,1,30
49,blue,3,oracle,2,32
50,orange,1,oracle,1,32
51,orange,1,oracle,1,32
52,blue,1,oracle,2,32
53,purple,1,oracle,1,32
54,purple,1,oracle,1,32
55,blue,9,oracle,2,34
56,blue,2,oracle,2,34
57,orange,1,oracle,1,34
58,red,1,oracle,4,34
59,blue,2,oracle,2,34
60,blue,1,oracle,2,34
61,purple,1,oracle,1,34
62,blue,2,oracle,2,34
63,blue,3,oracle,2,36
64,orange,1,oracle,1,36
65,red,11,oracle,4,40
66,red,4,oracle,4,40
67,purple,1,oracle,1,40
68,blue,8,oracle,2,42
69,purple,1,oracle,1,42
70,purple,2,oracle,1,43
71,red,3,oracle,4,43
72,blue,3,oracle,2,45
73,red,7,oracle,4,49
74,blue,2,oracle,2,49
75,orange,1,oracle,1,49
76,orange,5,oracle,1,50
77,purple,1,oracle,1,50
78,blue,8,oracle,2,52
79,red,5,oracle,4,56
80,red,6,oracle,4,60
81,red,1,oracle,4,60
82,orange,1,oracle,1,60
83,orange,1,oracle,1,60
84,blue,2,oracle,2,60
85,red,8,oracle,4,64
86,purple,1,oracle,1,64
87,purple,1,oracle,1,64
88,purple,2,oracle,1,65
89,red,4,oracle,4,65
90,purple,2,oracle,1,66
91,orange,1,oracle,1,66
92,orange,1,oracle,1,66
93,purple,1,oracle,1,66
94,red,2,oracle,4,66
95,blue,3,oracle,2,68
96,orange,1,oracle,1,68
97,red,1,oracle,4,68
98,orange,2,oracle,1,69
99,blue,4,oracle,2,71
100,purple,1,oracle,1,71
101,orange,1,oracle,1,71
102,blue,2,oracle,2,71
103,red,9,oracle,4,75
104,purple,1,oracle,1,75
105,red,8,oracle,4,79
106,blue,4,oracle,2,81
107,blue,3,oracle,2,83
108,blue,1,oracle,2,83
109,orange,2,oracle,1,84
110,red,1,oracle,4,84
111,red,5,oracle,4,88
112,blue,6,oracle,2,90
113,blue,1,oracle,2,90
114,orange,1,oracle,1,90
115,blue,5,oracle,2,92
116,red,2,oracle,4,92
117,orange,1,oracle,1,92
118,blue,3,oracle,2,94
119,blue,1,oracle,2,94
120,purple,1,oracle,1,94
121,blue,7,oracle,2,96
122,blue,2,oracle,2,96
123,blue,3,oracle,2,98
124,purple,1,oracle,1,98
125,blue,1,oracle,2,98
126,orange,1,oracle,1,98
127,purple,1,oracle,1,98
128,orange,1,oracle,1,98
129,purple,1,oracle,1,98
130,orange,1,oracle,1,98
131,orange,2,oracle,1,99
132,blue,2,oracle,2,99
133,blue,2,oracle,2,99
134,purple,1,oracle,1,99
135,blue,6,oracle,2,101
136,purple,1,oracle,1,101
137,orange,1,oracle,1,101
138,red,1,oracle,4,101
139,blue,4,oracle,2,103
140,purple,1,oracle,1,103
141,orange,1,oracle,1,103
142,purple,1,oracle,1,103
143,red,2,oracle,4,103
144,red,15,oracle,4,107
145,orange,1,oracle,1,107
146,purple,1,oracle,1,107
147,purple,1,oracle,1,107
148,purple,1,oracle,1,107
149,red,5,oracle,4,111
150,purple,1,oracle,1,111
151,purple,2,oracle,1,112
152,orange,1,oracle,1,112
153,blue,1,oracle,2,112
154,blue,1,oracle,2,112
155,blue,2,oracle,2,112
156,blue,1,oracle,2,112
157,orange,1,oracle,1,112
158,blue,1,oracle,2,112
159,purple,1,oracle,1,112
160,red,4,oracle,4,112
161,orange,1,oracle,1,112
162,red,6,oracle,4,116
163,orange,1,oracle,1,116
164,orange,1,oracle,1,116
165,blue,1,oracle,2,116
166,red,4,oracle,4,116
167,orange,1,oracle,1,116
168,purple,1,oracle,1,116
169,purple,1,oracle,1,116
170,blue,1,oracle,2,116
171,red,6,oracle,4,120
172,red,4,oracle,4,120
173,blue,5,oracle,2,122
174,red,5,oracle,4,126
