balloon_id,balloon_color,pop_time,strategy_name,threshold,end_PnL
0,orange,1,average_balloon,1,0
1,blue,2,average_balloon,1,1
2,orange,1,average_balloon,1,1
3,red,1,average_balloon,1,1
4,blue,3,average_balloon,1,2
5,red,5,average_balloon,1,3
6,purple,1,average_balloon,1,3
7,blue,9,average_balloon,1,4
8,blue,3,average_balloon,1,5
9,blue,1,average_balloon,1,5
10,red,2,average_balloon,1,6
11,red,3,average_balloon,1,7
12,orange,1,average_balloon,1,7
13,purple,1,average_balloon,1,7
14,purple,1,average_balloon,1,7
15,purple,1,average_balloon,1,7
16,purple,2,average_balloon,1,8
17,red,1,average_balloon,1,8
18,blue,2,average_balloon,1,9
19,blue,2,average_balloon,1,10
20,purple,1,average_balloon,1,10
21,blue,2,average_balloon,1,11
22,orange,1,average_balloon,1,11
23,blue,3,average_balloon,1,12
24,blue,1,average_balloon,1,12
25,purple,1,average_balloon,1,12
26,blue,2,average_balloon,1,13
27,red,4,average_balloon,1,14
28,red,1,average_balloon,1,14
29,red,3,average_balloon,1,15
30,red,4,average_balloon,1,16
31,red,10,average_balloon,1,17
32,orange,1,average_balloon,1,17
33,blue,2,average_balloon,1,18
34,purple,1,average_balloon,1,18
35,red,3,average_balloon,1,19
36,blue,4,average_balloon,1,20
37,red,5,average_balloon,1,21
38,purple,1,average_balloon,1,21
39,red,5,average_balloon,1,22
40,blue,3,average_balloon,1,23
41,red,9,average_balloon,1,24
42,purple,1,average_balloon,1,24
43,purple,1,average_balloon,1,24
44,red,1,average_balloon,1,24
45,purple,1,average_balloon,1,24
46,orange,3,average_balloon,1,25
47,blue,2,average_balloon,1,26
48,orange,1,average_balloon,1,26
49,orange,3,average_balloon,1,27
50,purple,1,average_balloon,1,27
51,blue,1,average_balloon,1,27
52,purple,1,average_balloon,1,27
53,purple,1,average_balloon,1,27
54,orange,1,average_balloon,1,27
55,blue,1,average_balloon,1,27
56,blue,3,average_balloon,1,28
57,purple,1,average_balloon,1,28
58,red,3,average_balloon,1,29
59,blue,6,average_balloon,1,30
60,orange,2,average_balloon,1,31
61,purple,1,average_balloon,1,31
62,orange,2,average_balloon,1,32
63,orange,1,average_balloon,1,32
64,blue,4,average_balloon,1,33
65,blue,3,average_balloon,1,34
66,blue,4,average_balloon,1,35
67,orange,1,average_balloon,1,35
68,blue,2,average_balloon,1,36
69,purple,1,average_balloon,1,36
70,orange,1,average_balloon,1,36
71,purple,1,average_balloon,1,36
72,red,6,average_balloon,1,37
73,red,1,average_balloon,1,37
74,orange,2,average_balloon,1,38
75,purple,1,average_balloon,1,38
76,purple,1,average_balloon,1,38
77,red,14,average_balloon,1,39
78,purple,1,average_balloon,1,39
79,purple,1,average_balloon,1,39
80,red,8,average_balloon,1,40
81,purple,1,average_balloon,1,40
82,orange,2,average_balloon,1,41
83,red,4,average_balloon,1,42
84,orange,1,average_balloon,1,42
85,blue,2,average_balloon,1,43
86,red,1,average_balloon,1,43
87,red,19,average_balloon,1,44
88,blue,2,average_balloon,1,45
89,red,2,average_balloon,1,46
90,red,2,average_balloon,1,47
91,purple,1,average_balloon,1,47
92,blue,2,average_balloon,1,48
93,blue,2,average_balloon,1,49
94,blue,1,average_balloon,1,49
95,orange,2,average_balloon,1,50
96,orange,1,average_balloon,1,50
97,orange,1,average_balloon,1,50
98,orange,1,average_balloon,1,50
99,orange,2,average_balloon,1,51
100,orange,2,average_balloon,1,52
101,blue,1,average_balloon,1,52
102,purple,1,average_balloon,1,52
103,red,9,average_balloon,1,53
104,blue,2,average_balloon,1,54
105,blue,1,average_balloon,1,54
106,orange,3,average_balloon,1,55
107,orange,1,average_balloon,1,55
108,purple,1,average_balloon,1,55
109,blue,3,average_balloon,1,56
110,purple,1,average_balloon,1,56
111,red,2,average_balloon,1,57
112,orange,1,average_balloon,1,57
113,red,2,average_balloon,1,58
114,red,8,average_balloon,1,59
115,orange,4,average_balloon,1,60
116,orange,1,average_balloon,1,60
117,purple,1,average_balloon,1,60
118,red,4,average_balloon,1,61
119,red,11,average_balloon,1,62
120,red,1,average_balloon,1,62
121,blue,1,average_balloon,1,62
122,purple,1,average_balloon,1,62
123,red,11,average_balloon,1,63
124,red,1,average_balloon,1,63
125,purple,1,average_balloon,1,63
126,blue,1,average_balloon,1,63
127,purple,1,average_balloon,1,63
128,blue,1,average_balloon,1,63
129,orange,1,average_balloon,1,63
130,orange,2,average_balloon,1,64
131,purple,1,average_balloon,1,64
132,blue,4,average_balloon,1,65
133,orange,1,average_balloon,1,65
134,purple,1,average_balloon,1,65
135,purple,1,average_balloon,1,65
136,blue,3,average_balloon,1,66
137,purple,1,average_balloon,1,66
138,blue,1,average_balloon,1,66
139,blue,5,average_balloon,1,67
140,purple,1,average_balloon,1,67
141,red,2,average_balloon,1,68
142,purple,1,average_balloon,1,68
143,purple,1,average_balloon,1,68
144,red,9,average_balloon,1,69
145,orange,1,average_balloon,1,69
146,blue,4,average_balloon,1,70
147,purple,1,average_balloon,1,70
148,blue,3,average_balloon,1,71
149,orange,1,average_balloon,1,71
150,purple,1,average_balloon,1,71
151,blue,3,average_balloon,1,72
152,purple,1,average_balloon,1,72
153,red,14,average_balloon,1,73
154,orange,2,average_balloon,1,74
155,red,1,average_balloon,1,74
156,red,1,average_balloon,1,74
157,blue,2,average_balloon,1,75
158,red,2,average_balloon,1,76
159,red,1,average_balloon,1,76
160,red,1,average_balloon,1,76
161,orange,1,average_balloon,1,76
162,orange,1,average_balloon,1,76
163,red,5,average_balloon,1,77
164,blue,2,average_balloon,1,78
165,red,2,average_balloon,1,79
166,purple,1,average_balloon,1,79
167,orange,1,average_balloon,1,79
168,purple,1,average_balloon,1,79
169,red,9,average_balloon,1,80
170,blue,1,average_balloon,1,80
171,orange,1,average_balloon,1,80
172,blue,2,average_balloon,1,81
173,orange,3,average_balloon,1,82
174,purple,2,average_balloon,1,83
175,orange,1,average_balloon,1,83
176,orange,2,average_balloon,1,84
177,blue,3,average_balloon,1,85
178,orange,1,average_balloon,1,85
179,orange,1,average_balloon,1,85
180,purple,1,average_balloon,1,85
181,blue,2,average_balloon,1,86
182,purple,1,average_balloon,1,86
183,red,1,average_balloon,1,86
184,red,1,average_balloon,1,86
185,red,3,average_balloon,1,87
186,blue,1,average_balloon,1,87
187,orange,1,average_balloon,1,87
188,red,2,average_balloon,1,88
189,blue,3,average_balloon,1,89
190,orange,1,average_balloon,1,89
191,red,1,average_balloon,1,89
192,red,4,average_balloon,1,90
193,purple,1,average_balloon,1,90
194,red,8,average_balloon,1,91
195,orange,1,average_balloon,1,91
196,orange,1,average_balloon,1,91
197,red,2,average_balloon,1,92
198,orange,1,average_balloon,1,92
199,orange,2,average_balloon,1,93
200,red,6,average_balloon,1,94
201,blue,1,average_balloon,1,94
202,orange,2,average_balloon,1,95
203,purple,1,average_balloon,1,95
204,orange,2,average_balloon,1,96
205,purple,1,average_balloon,1,96
206,orange,1,average_balloon,1,96
207,purple,1,average_balloon,1,96
208,orange,1,average_balloon,1,96
209,blue,3,average_balloon,1,97
210,purple,2,average_balloon,1,98
211,red,7,average_balloon,1,99
212,blue,2,average_balloon,1,100
213,blue,5,average_balloon,1,101
214,orange,1,average_balloon,1,101
215,red,6,average_balloon,1,102
216,orange,1,average_balloon,1,102
217,blue,2,average_balloon,1,103
218,blue,5,average_balloon,1,104
219,red,10,average_balloon,1,105
220,purple,1,average_balloon,1,105
221,blue,1,average_balloon,1,105
222,purple,1,average_balloon,1,105
223,orange,2,average_balloon,1,106
224,orange,1,average_balloon,1,106
225,purple,1,average_balloon,1,106
226,red,7,average_balloon,1,107
227,blue,1,average_balloon,1,107
228,red,2,average_balloon,1,108
229,red,1,average_balloon,1,108
230,blue,1,average_balloon,1,108
231,orange,1,average_balloon,1,108
232,red,1,average_balloon,1,108
233,blue,5,average_balloon,1,109
234,purple,1,average_balloon,1,109
235,red,8,average_balloon,1,110
236,orange,1,average_balloon,1,110
237,red,2,average_balloon,1,111
238,red,11,average_balloon,1,112
239,purple,1,average_balloon,1,112
240,orange,1,average_balloon,1,112
241,purple,1,average_balloon,1,112
242,blue,2,average_balloon,1,113
243,purple,1,average_balloon,1,113
244,blue,6,average_balloon,1,114
245,purple,1,average_balloon,1,114
246,purple,1,average_balloon,1,114
247,orange,2,average_balloon,1,115
248,red,5,average_balloon,1,116
249,purple,1,average_balloon,1,116
250,red,2,average_balloon,1,117
251,purple,1,average_balloon,1,117
252,red,1,average_balloon,1,117
253,blue,3,average_balloon,1,118
254,blue,2,average_balloon,1,119
255,red,2,average_balloon,1,120
256,blue,2,average_balloon,1,121
257,purple,1,average_balloon,1,121
258,purple,1,average_balloon,1,121
259,orange,1,average_balloon,1,121
260,red,1,average_balloon,1,121
261,orange,2,average_balloon,1,122
262,orange,1,average_balloon,1,122
263,red,4,average_balloon,1,123
264,blue,2,average_balloon,1,124
265,blue,3,average_balloon,1,125
266,red,1,average_balloon,1,125
267,orange,2,average_balloon,1,126
268,blue,2,average_balloon,1,127
269,orange,1,average_balloon,1,127
270,red,3,average_balloon,1,128
271,purple,1,average_balloon,1,128
272,orange,1,average_balloon,1,128
273,purple,1,average_balloon,1,128
274,orange,1,average_balloon,1,128
275,orange,1,average_balloon,1,128
276,red,1,average_balloon,1,128
277,red,2,average_balloon,1,129
278,red,7,average_balloon,1,130
279,orange,1,average_balloon,1,130
280,purple,1,average_balloon,1,130
281,purple,1,average_balloon,1,130
282,purple,1,average_balloon,1,130
283,orange,4,average_balloon,1,131
284,blue,2,average_balloon,1,132
285,red,3,average_balloon,1,133
286,orange,1,average_balloon,1,133
287,blue,2,average_balloon,1,134
288,purple,1,average_balloon,1,134
289,purple,1,average_balloon,1,134
290,purple,1,average_balloon,1,134
291,blue,3,average_balloon,1,135
292,purple,1,average_balloon,1,135
293,orange,2,average_balloon,1,136
294,blue,4,average_balloon,1,137
295,red,4,average_balloon,1,138
296,purple,1,average_balloon,1,138
297,orange,2,average_balloon,1,139
298,blue,1,average_balloon,1,139
299,purple,1,average_balloon,1,139
