balloon_id,balloon_color,pop_time,strategy_name,threshold,end_PnL
0,blue,5,guess_5,3,3
1,blue,1,guess_5,3,3
2,blue,1,guess_5,1,3
3,orange,1,guess_5,3,3
4,purple,1,guess_5,3,3
5,red,2,guess_5,4,3
6,red,10,guess_5,4,7
7,purple,1,guess_5,2,7
8,red,4,guess_5,1,8
9,purple,1,guess_5,3,8
10,purple,1,guess_5,4,8
11,red,1,guess_5,3,8
12,blue,1,guess_5,4,8
13,red,1,guess_5,1,8
14,orange,1,guess_5,4,8
15,blue,2,guess_5,4,8
16,blue,2,guess_5,3,8
17,red,1,guess_5,2,8
18,red,16,guess_5,1,9
19,blue,3,guess_5,3,9
20,red,13,guess_5,3,12
21,blue,1,guess_5,2,12
22,red,2,guess_5,3,12
23,red,7,guess_5,2,14
24,red,8,guess_5,4,18
25,blue,1,guess_5,1,18
26,purple,1,guess_5,3,18
27,red,3,guess_5,4,18
28,purple,1,guess_5,2,18
29,orange,1,guess_5,3,18
30,blue,3,guess_5,4,18
31,blue,2,guess_5,4,18
32,orange,2,guess_5,4,18
33,blue,6,guess_5,3,21
34,purple,1,guess_5,2,21
35,red,14,guess_5,4,25
36,blue,6,guess_5,3,28
37,purple,1,guess_5,1,28
38,blue,3,guess_5,2,30
39,orange,2,guess_5,2,30
40,orange,1,guess_5,3,30
41,orange,1,guess_5,4,30
42,blue,2,guess_5,2,30
43,purple,1,guess_5,2,30
44,purple,1,guess_5,4,30
45,purple,1,guess_5,2,30
46,red,5,guess_5,4,34
47,blue,3,guess_5,1,35
48,orange,1,guess_5,2,35
49,red,6,guess_5,1,36
50,blue,1,guess_5,3,36
51,purple,1,guess_5,3,36
52,purple,1,guess_5,3,36
53,red,15,guess_5,4,40
54,purple,1,guess_5,1,40
55,orange,1,guess_5,1,40
56,blue,2,guess_5,2,40
57,purple,1,guess_5,2,40
58,red,4,guess_5,1,41
59,red,4,guess_5,4,41
60,orange,1,guess_5,2,41
61,blue,1,guess_5,1,41
62,orange,4,guess_5,1,42
63,purple,1,guess_5,1,42
64,blue,1,guess_5,3,42
65,orange,1,guess_5,1,42
66,orange,1,guess_5,4,42
67,blue,1,guess_5,1,42
68,blue,3,guess_5,4,42
69,orange,1,guess_5,3,42
70,blue,6,guess_5,4,46
71,purple,1,guess_5,1,46
72,purple,1,guess_5,1,46
73,purple,1,guess_5,4,46
74,blue,7,guess_5,2,48
75,orange,1,guess_5,3,48
76,red,3,guess_5,1,49
77,red,1,guess_5,4,49
78,orange,2,guess_5,1,50
79,orange,1,guess_5,3,50
80,red,1,guess_5,1,50
81,red,6,guess_5,2,52
82,orange,1,guess_5,4,52
83,purple,1,guess_5,1,52
84,blue,2,guess_5,1,53
85,blue,1,guess_5,4,53
86,purple,1,guess_5,4,53
87,orange,1,guess_5,3,53
88,orange,2,guess_5,2,53
89,purple,1,guess_5,3,53
90,purple,1,guess_5,1,53
91,orange,1,guess_5,1,53
92,orange,1,guess_5,1,53
93,blue,2,guess_5,1,54
94,blue,3,guess_5,4,54
95,red,1,guess_5,1,54
96,purple,1,guess_5,3,54
97,purple,1,guess_5,2,54
98,red,11,guess_5,4,58
99,red,1,guess_5,4,58
100,purple,1,guess_5,4,58
101,blue,1,guess_5,3,58
102,blue,3,guess_5,3,58
103,purple,1,guess_5,2,58
104,purple,1,guess_5,1,58
105,orange,1,guess_5,2,58
106,purple,1,guess_5,1,58
107,blue,2,guess_5,4,58
108,blue,1,guess_5,4,58
109,purple,1,guess_5,3,58
110,purple,1,guess_5,1,58
111,purple,1,guess_5,4,58
112,purple,1,guess_5,3,58
113,purple,1,guess_5,2,58
114,purple,1,guess_5,3,58
115,purple,1,guess_5,3,58
116,orange,1,guess_5,1,58
117,blue,2,guess_5,1,59
118,red,18,guess_5,1,60
119,purple,1,guess_5,3,60
120,purple,1,guess_5,3,60
121,orange,1,guess_5,1,60
122,blue,1,guess_5,1,60
123,orange,1,guess_5,2,60
124,blue,2,guess_5,3,60
125,red,1,guess_5,4,60
126,red,1,guess_5,3,60
127,orange,1,guess_5,3,60
128,purple,1,guess_5,2,60
129,purple,1,guess_5,4,60
130,purple,2,guess_5,4,60
131,orange,1,guess_5,4,60
132,orange,1,guess_5,1,60
133,blue,5,guess_5,3,63
134,orange,1,guess_5,4,63
135,purple,1,guess_5,1,63
136,purple,1,guess_5,3,63
137,blue,1,guess_5,1,63
138,blue,1,guess_5,4,63
139,purple,1,guess_5,2,63
140,red,5,guess_5,1,64
141,purple,1,guess_5,2,64
142,red,1,guess_5,4,64
143,red,4,guess_5,1,65
144,orange,1,guess_5,3,65
145,red,1,guess_5,3,65
146,red,2,guess_5,3,65
147,purple,2,guess_5,4,65
148,orange,1,guess_5,4,65
149,red,5,guess_5,3,68
150,purple,1,guess_5,4,68
151,orange,1,guess_5,2,68
152,orange,1,guess_5,4,68
153,blue,2,guess_5,1,69
154,orange,1,guess_5,1,69
155,purple,1,guess_5,1,69
156,purple,1,guess_5,2,69
157,purple,2,guess_5,3,69
158,orange,1,guess_5,4,69
159,orange,1,guess_5,3,69
160,blue,1,guess_5,3,69
161,orange,1,guess_5,1,69
162,blue,3,guess_5,2,71
163,purple,1,guess_5,4,71
164,red,1,guess_5,4,71
165,orange,1,guess_5,3,71
166,red,5,guess_5,2,73
167,red,6,guess_5,3,76
168,orange,1,guess_5,3,76
169,purple,1,guess_5,2,76
170,red,5,guess_5,3,79
171,blue,1,guess_5,4,79
172,blue,5,guess_5,3,82
173,blue,6,guess_5,4,86
174,orange,2,guess_5,2,86
175,purple,1,guess_5,2,86
176,red,9,guess_5,3,89
177,orange,1,guess_5,4,89
178,orange,1,guess_5,3,89
179,orange,2,guess_5,3,89
180,red,4,guess_5,1,90
181,purple,1,guess_5,2,90
182,blue,1,guess_5,3,90
183,purple,1,guess_5,3,90
184,blue,3,guess_5,1,91
185,orange,1,guess_5,2,91
186,orange,1,guess_5,2,91
187,blue,4,guess_5,1,92
188,red,8,guess_5,4,96
189,blue,1,guess_5,2,96
190,red,4,guess_5,4,96
191,orange,3,guess_5,4,96
192,blue,5,guess_5,2,98
193,orange,2,guess_5,2,98
194,orange,2,guess_5,4,98
195,purple,1,guess_5,3,98
196,red,5,guess_5,2,100
197,orange,1,guess_5,1,100
198,blue,2,guess_5,2,100
199,purple,1,guess_5,1,100
200,purple,1,guess_5,4,100
201,blue,1,guess_5,4,100
202,orange,2,guess_5,4,100
203,purple,1,guess_5,3,100
204,red,8,guess_5,4,104
205,purple,1,guess_5,4,104
206,red,6,guess_5,4,108
207,red,2,guess_5,2,108
208,blue,2,guess_5,1,109
209,blue,2,guess_5,2,109
210,blue,3,guess_5,3,109
211,purple,1,guess_5,3,109
212,orange,1,guess_5,2,109
213,purple,1,guess_5,1,109
214,blue,1,guess_5,1,109
215,blue,1,guess_5,1,109
216,purple,1,guess_5,2,109
217,blue,1,guess_5,2,109
218,orange,1,guess_5,4,109
219,red,7,guess_5,1,110
220,red,10,guess_5,1,111
221,purple,1,guess_5,3,111
222,purple,1,guess_5,3,111
223,blue,8,guess_5,3,114
224,orange,2,guess_5,3,114
225,orange,1,guess_5,2,114
226,blue,2,guess_5,2,114
227,red,5,guess_5,1,115
228,orange,1,guess_5,2,115
229,red,7,guess_5,2,117
230,purple,1,guess_5,2,117
231,orange,1,guess_5,2,117
232,orange,2,guess_5,4,117
233,blue,1,guess_5,4,117
234,orange,3,guess_5,2,119
235,orange,1,guess_5,3,119
236,red,1,guess_5,1,119
237,orange,2,guess_5,3,119
238,red,2,guess_5,4,119
239,blue,2,guess_5,2,119
240,purple,1,guess_5,3,119
241,red,7,guess_5,4,123
242,purple,1,guess_5,2,123
243,red,1,guess_5,1,123
244,red,8,guess_5,2,125
245,purple,1,guess_5,2,125
246,blue,4,guess_5,1,126
247,red,4,guess_5,1,127
248,blue,1,guess_5,1,127
249,red,1,guess_5,4,127
250,red,1,guess_5,3,127
251,blue,3,guess_5,1,128
252,blue,1,guess_5,2,128
253,red,1,guess_5,4,128
254,red,7,guess_5,2,130
255,orange,1,guess_5,3,130
256,red,4,guess_5,2,132
257,purple,1,guess_5,1,132
258,red,1,guess_5,3,132
259,orange,1,guess_5,2,132
260,red,8,guess_5,2,134
261,blue,4,guess_5,3,137
262,orange,1,guess_5,4,137
263,blue,4,guess_5,2,139
264,purple,1,guess_5,2,139
265,purple,1,guess_5,1,139
266,blue,2,guess_5,3,139
267,purple,1,guess_5,2,139
268,blue,4,guess_5,1,140
269,orange,2,guess_5,2,140
270,purple,1,guess_5,3,140
271,red,19,guess_5,1,141
272,blue,1,guess_5,1,141
273,blue,1,guess_5,3,141
274,red,1,guess_5,4,141
275,orange,1,guess_5,2,141
276,red,2,guess_5,3,141
277,red,2,guess_5,1,142
278,red,5,guess_5,1,143
279,blue,11,guess_5,4,147
280,orange,2,guess_5,2,147
281,blue,4,guess_5,2,149
282,purple,1,guess_5,3,149
283,purple,1,guess_5,2,149
284,orange,2,guess_5,2,149
285,blue,1,guess_5,2,149
286,blue,1,guess_5,4,149
287,blue,2,guess_5,2,149
288,red,3,guess_5,4,149
289,blue,1,guess_5,2,149
290,red,1,guess_5,2,149
291,orange,1,guess_5,4,149
292,red,4,guess_5,2,151
293,orange,1,guess_5,2,151
294,red,6,guess_5,4,155
295,red,6,guess_5,1,156
296,orange,1,guess_5,4,156
297,orange,3,guess_5,1,157
298,purple,1,guess_5,4,157
299,red,7,guess_5,1,158
