balloon_id,balloon_color,pop_time,strategy_name,threshold,end_PnL
0,red,10,bayes_dp,4,4
1,blue,4,bayes_dp,4,4
2,orange,1,bayes_dp,4,4
3,orange,1,bayes_dp,2,4
4,purple,1,bayes_dp,4,4
5,orange,1,bayes_dp,1,4
6,blue,1,bayes_dp,4,4
7,red,11,bayes_dp,7,11
8,orange,3,bayes_dp,1,12
9,blue,6,bayes_dp,3,15
10,orange,3,bayes_dp,1,16
11,blue,5,bayes_dp,4,20
12,purple,1,bayes_dp,2,20
13,blue,2,bayes_dp,5,20
14,purple,1,bayes_dp,1,20
15,orange,1,bayes_dp,2,20
16,red,5,bayes_dp,12,20
17,purple,1,bayes_dp,1,20
18,blue,8,bayes_dp,4,24
19,blue,1,bayes_dp,5,24
20,red,21,bayes_dp,7,31
21,purple,1,bayes_dp,1,31
22,red,7,bayes_dp,10,31
23,red,13,bayes_dp,8,39
24,orange,1,bayes_dp,1,39
25,red,15,bayes_dp,10,49
26,purple,2,bayes_dp,1,50
27,red,6,bayes_dp,14,50
28,red,5,bayes_dp,10,50
29,red,24,bayes_dp,9,59
30,purple,1,bayes_dp,1,59
31,blue,4,bayes_dp,4,59
32,purple,1,bayes_dp,1,59
33,orange,2,bayes_dp,1,60
34,red,5,bayes_dp,10,60
35,blue,1,bayes_dp,4,60
36,red,23,bayes_dp,9,69
37,orange,1,bayes_dp,1,69
38,purple,1,bayes_dp,1,69
39,purple,2,bayes_dp,1,70
40,orange,2,bayes_dp,1,71
41,red,14,bayes_dp,10,81
42,purple,1,bayes_dp,1,81
43,purple,1,bayes_dp,1,81
44,red,8,bayes_dp,12,81
45,orange,3,bayes_dp,1,82
46,purple,1,bayes_dp,1,82
47,red,12,bayes_dp,11,93
48,purple,1,bayes_dp,1,93
49,orange,1,bayes_dp,2,93
50,purple,1,bayes_dp,1,93
51,red,15,bayes_dp,13,106
52,blue,1,bayes_dp,4,106
53,red,1,bayes_dp,17,106
54,blue,1,bayes_dp,3,106
55,blue,2,bayes_dp,3,106
56,purple,1,bayes_dp,1,106
57,purple,1,bayes_dp,1,106
58,red,5,bayes_dp,13,106
59,red,5,bayes_dp,11,106
60,red,10,bayes_dp,10,106
61,blue,1,bayes_dp,3,106
62,blue,1,bayes_dp,3,106
63,blue,2,bayes_dp,2,106
64,red,6,bayes_dp,10,106
65,red,10,bayes_dp,10,106
66,purple,1,bayes_dp,1,106
67,blue,2,bayes_dp,2,106
68,orange,1,bayes_dp,1,106
69,orange,2,bayes_dp,1,107
70,orange,2,bayes_dp,1,108
71,blue,1,bayes_dp,2,108
72,purple,1,bayes_dp,1,108
73,purple,1,bayes_dp,1,108
74,blue,4,bayes_dp,2,110
75,purple,1,bayes_dp,1,110
76,red,1,bayes_dp,10,110
77,red,2,bayes_dp,9,110
78,purple,2,bayes_dp,1,111
79,purple,1,bayes_dp,1,111
80,purple,1,bayes_dp,1,111
81,orange,2,bayes_dp,2,111
82,red,1,bayes_dp,9,111
83,purple,1,bayes_dp,1,111
84,orange,2,bayes_dp,2,111
85,purple,2,bayes_dp,1,112
86,blue,1,bayes_dp,2,112
87,blue,2,bayes_dp,2,112
88,red,3,bayes_dp,9,112
89,purple,2,bayes_dp,1,113
90,blue,4,bayes_dp,2,115
91,purple,1,bayes_dp,1,115
92,orange,1,bayes_dp,2,115
93,purple,1,bayes_dp,1,115
94,blue,4,bayes_dp,2,117
95,blue,2,bayes_dp,2,117
96,purple,1,bayes_dp,1,117
