balloon_id,balloon_color,pop_time,strategy_name,threshold,end_PnL
0,purple,1,bayes_myopic,200,0
1,orange,1,bayes_myopic,200,0
2,blue,9,bayes_myopic,200,0
3,red,16,bayes_myopic,200,0
4,blue,2,bayes_myopic,9,0
5,purple,1,bayes_myopic,1,0
6,purple,1,bayes_myopic,1,0
7,orange,1,bayes_myopic,1,0
8,red,9,bayes_myopic,16,0
9,orange,1,bayes_myopic,1,0
10,red,6,bayes_myopic,12,0
11,purple,1,bayes_myopic,1,0
12,red,6,bayes_myopic,10,0
13,red,30,bayes_myopic,9,9
14,orange,1,bayes_myopic,1,9
15,purple,2,bayes_myopic,1,10
16,orange,2,bayes_myopic,1,11
17,red,45,bayes_myopic,11,22
18,red,1,bayes_myopic,14,22
19,blue,1,bayes_myopic,6,22
20,blue,2,bayes_myopic,4,22
21,red,8,bayes_myopic,11,22
22,orange,1,bayes_myopic,1,22
23,orange,2,bayes_myopic,1,23
24,blue,1,bayes_myopic,3,23
25,orange,1,bayes_myopic,1,23
26,orange,2,bayes_myopic,1,24
27,red,2,bayes_myopic,11,24
28,blue,2,bayes_myopic,3,24
29,red,7,bayes_myopic,9,24
30,red,11,bayes_myopic,9,33
31,red,18,bayes_myopic,10,43
32,orange,1,bayes_myopic,1,43
33,blue,1,bayes_myopic,2,43
34,blue,4,bayes_myopic,2,45
35,orange,1,bayes_myopic,1,45
36,orange,2,bayes_myopic,1,46
37,red,3,bayes_myopic,11,46
38,orange,4,bayes_myopic,1,47
39,orange,1,bayes_myopic,1,47
40,purple,2,bayes_myopic,1,48
41,purple,1,bayes_myopic,1,48
42,orange,2,bayes_myopic,1,49
43,blue,2,bayes_myopic,2,49
44,blue,1,bayes_myopic,2,49
45,red,26,bayes_myopic,10,59
46,purple,1,bayes_myopic,1,59
47,blue,3,bayes_myopic,2,61
48,purple,2,bayes_myopic,1,62
49,red,12,bayes_myopic,11,73
50,orange,2,bayes_myopic,1,74
51,blue,2,bayes_myopic,2,74
52,orange,1,bayes_myopic,1,74
53,orange,1,bayes_myopic,1,74
54,orange,1,bayes_myopic,1,74
55,red,6,bayes_myopic,13,74
