balloon_id,balloon_color,pop_time,strategy_name,threshold,end_PnL
0,red,4,0_0_greedy,1,1
1,purple,1,0_0_greedy,1,1
2,purple,1,0_0_greedy,1,1
3,red,5,0_0_greedy,3,4
4,blue,1,0_0_greedy,1,4
5,blue,2,0_0_greedy,1,5
6,orange,1,0_0_greedy,1,5
7,purple,1,0_0_greedy,1,5
8,red,3,0_0_greedy,6,5
9,blue,2,0_0_greedy,1,6
10,blue,2,0_0_greedy,2,6
11,purple,1,0_0_greedy,1,6
12,blue,2,0_0_greedy,2,6
13,red,2,0_0_greedy,4,6
14,purple,1,0_0_greedy,1,6
15,blue,2,0_0_greedy,2,6
16,purple,3,0_0_greedy,1,7
17,red,1,0_0_greedy,3,7
18,blue,1,0_0_greedy,2,7
19,orange,2,0_0_greedy,1,8
20,purple,1,0_0_greedy,1,8
21,blue,1,0_0_greedy,1,8
22,red,8,0_0_greedy,3,11
23,orange,1,0_0_greedy,1,11
24,blue,1,0_0_greedy,1,11
25,orange,3,0_0_greedy,1,12
26,orange,1,0_0_greedy,1,12
27,red,28,0_0_greedy,3,15
28,blue,4,0_0_greedy,1,16
29,red,2,0_0_greedy,4,16
30,red,10,0_0_greedy,3,19
31,purple,1,0_0_greedy,1,19
32,purple,1,0_0_greedy,1,19
33,red,4,0_0_greedy,4,19
34,red,26,0_0_greedy,4,23
35,orange,4,0_0_greedy,1,24
36,purple,1,0_0_greedy,1,24
37,blue,1,0_0_greedy,1,24
38,red,49,0_0_greedy,5,29
39,red,8,0_0_greedy,6,35
40,red,15,0_0_greedy,7,42
41,purple,2,0_0_greedy,1,43
42,blue,2,0_0_greedy,1,44
43,purple,2,0_0_greedy,1,45
44,blue,2,0_0_greedy,1,46
45,blue,3,0_0_greedy,1,47
46,red,21,0_0_greedy,8,55
47,purple,1,0_0_greedy,1,55
48,blue,2,0_0_greedy,2,55
49,purple,1,0_0_greedy,1,55
50,red,17,0_0_greedy,9,64
51,red,14,0_0_greedy,10,74
52,red,9,0_0_greedy,12,74
53,purple,1,0_0_greedy,1,74
54,red,1,0_0_greedy,12,74
55,orange,2,0_0_greedy,1,75
56,orange,1,0_0_greedy,2,75
57,blue,4,0_0_greedy,2,77
58,purple,1,0_0_greedy,1,77
59,orange,2,0_0_greedy,1,78
60,blue,2,0_0_greedy,2,78
61,red,2,0_0_greedy,10,78
62,orange,4,0_0_greedy,2,80
63,purple,3,0_0_greedy,1,81
64,purple,1,0_0_greedy,1,81
65,blue,1,0_0_greedy,2,81
66,orange,1,0_0_greedy,2,81
67,orange,2,0_0_greedy,2,81
68,orange,1,0_0_greedy,2,81
69,purple,2,0_0_greedy,1,82
70,blue,1,0_0_greedy,2,82
71,purple,1,0_0_greedy,1,82
72,blue,2,0_0_greedy,2,82
73,red,1,0_0_greedy,9,82
74,orange,1,0_0_greedy,2,82
75,purple,1,0_0_greedy,1,82
76,purple,1,0_0_greedy,1,82
77,purple,1,0_0_greedy,1,82
78,orange,1,0_0_greedy,1,82
79,purple,1,0_0_greedy,1,82
80,purple,1,0_0_greedy,1,82
81,blue,5,0_0_greedy,2,84
82,orange,3,0_0_greedy,1,85
83,blue,4,0_0_greedy,2,87
84,red,14,0_0_greedy,8,95
85,red,12,0_0_greedy,9,104
86,purple,1,0_0_greedy,1,104
87,purple,1,0_0_greedy,1,104
88,orange,1,0_0_greedy,1,104
89,red,11,0_0_greedy,10,114
90,orange,2,0_0_greedy,1,115
91,blue,1,0_0_greedy,2,115
92,red,2,0_0_greedy,11,115
93,orange,1,0_0_greedy,1,115
94,orange,6,0_0_greedy,1,116
95,red,10,0_0_greedy,10,116
96,purple,1,0_0_greedy,1,116
97,blue,1,0_0_greedy,2,116
98,purple,1,0_0_greedy,1,116
99,red,2,0_0_greedy,10,116
100,purple,1,0_0_greedy,1,116
101,purple,2,0_0_greedy,1,117
102,red,10,0_0_greedy,9,126
103,orange,2,0_0_greedy,1,127
104,red,21,0_0_greedy,10,137
105,purple,1,0_0_greedy,1,137
106,red,4,0_0_greedy,11,137
107,purple,2,0_0_greedy,1,138
108,purple,1,0_0_greedy,1,138
109,red,13,0_0_greedy,10,148
110,purple,1,0_0_greedy,1,148
111,orange,1,0_0_greedy,2,148
112,purple,1,0_0_greedy,1,148
113,purple,3,0_0_greedy,1,149
114,purple,1,0_0_greedy,1,149
115,orange,1,0_0_greedy,1,149
116,red,1,0_0_greedy,11,149
117,purple,1,0_0_greedy,1,149
118,blue,5,0_0_greedy,2,151
119,red,25,0_0_greedy,10,161
120,blue,1,0_0_greedy,2,161
