balloon_id,balloon_color,pop_time,strategy_name,threshold,end_PnL
0,blue,3,oracle,2,2
1,purple,1,oracle,1,2
2,red,5,oracle,9,2
3,orange,3,oracle,1,3
4,purple,1,oracle,1,3
5,blue,3,oracle,2,5
6,purple,1,oracle,1,5
7,orange,2,oracle,1,6
8,blue,1,oracle,2,6
9,purple,1,oracle,1,6
10,red,9,oracle,9,6
11,blue,1,oracle,2,6
12,red,15,oracle,9,15
13,orange,1,oracle,1,15
14,purple,1,oracle,1,15
15,red,9,oracle,9,15
16,blue,1,oracle,2,15
17,blue,2,oracle,2,15
18,blue,2,oracle,2,15
19,purple,2,oracle,1,16
20,blue,1,oracle,2,16
21,orange,2,oracle,1,17
22,purple,1,oracle,1,17
23,blue,1,oracle,2,17
24,purple,1,oracle,1,17
25,red,16,oracle,9,26
26,orange,1,oracle,1,26
27,blue,1,oracle,2,26
28,orange,1,oracle,1,26
29,red,2,oracle,9,26
30,red,8,oracle,9,26
31,red,26,oracle,9,35
32,purple,1,oracle,1,35
33,red,16,oracle,9,44
34,orange,1,oracle,1,44
35,blue,1,oracle,2,44
36,purple,1,oracle,1,44
37,purple,1,oracle,1,44
38,red,5,oracle,9,44
39,orange,2,oracle,1,45
40,purple,1,oracle,1,45
41,red,23,oracle,9,54
42,red,22,oracle,9,63
43,blue,4,oracle,2,65
44,purple,1,oracle,1,65
45,purple,2,oracle,1,66
46,red,6,oracle,9,66
47,purple,1,oracle,1,66
48,blue,1,oracle,2,66
49,orange,2,oracle,1,67
50,purple,1,oracle,1,67
51,blue,3,oracle,2,69
52,purple,2,oracle,1,70
53,orange,2,oracle,1,71
54,purple,1,oracle,1,71
55,red,14,oracle,9,80
56,orange,2,oracle,1,81
57,blue,2,oracle,2,81
58,purple,1,oracle,1,81
59,purple,1,oracle,1,81
60,blue,1,oracle,2,81
61,purple,1,oracle,1,81
62,blue,1,oracle,2,81
63,orange,2,oracle,1,82
64,orange,1,oracle,1,82
65,blue,1,oracle,2,82
66,purple,1,oracle,1,82
67,purple,1,oracle,1,82
68,purple,1,oracle,1,82
69,orange,1,oracle,1,82
70,purple,1,oracle,1,82
71,blue,1,oracle,2,82
72,purple,1,oracle,1,82
73,orange,3,oracle,1,83
74,purple,1,oracle,1,83
75,red,1,oracle,9,83
76,orange,2,oracle,1,84
77,purple,1,oracle,1,84
78,orange,1,oracle,1,84
79,orange,1,oracle,1,84
80,purple,1,oracle,1,84
81,orange,1,oracle,1,84
82,red,16,oracle,9,93
83,red,7,oracle,9,93
84,red,5,oracle,9,93
85,orange,2,oracle,1,94
86,purple,1,oracle,1,94
87,purple,1,oracle,1,94
88,red,4,oracle,9,94
89,purple,1,oracle,1,94
90,orange,1,oracle,1,94
91,orange,2,oracle,1,95
92,blue,3,oracle,2,97
93,red,7,oracle,9,97
94,blue,2,oracle,2,97
95,orange,2,oracle,1,98
96,blue,1,oracle,2,98
97,orange,2,oracle,1,99
98,orange,1,oracle,1,99
99,blue,3,oracle,2,101
100,purple,1,oracle,1,101
101,blue,8,oracle,2,103
102,orange,1,oracle,1,103
103,purple,1,oracle,1,103
104,blue,2,oracle,2,103
105,blue,2,oracle,2,103
106,orange,2,oracle,1,104
107,purple,1,oracle,1,104
108,orange,1,oracle,1,104
109,orange,4,oracle,1,105
110,purple,1,oracle,1,105
111,blue,2,oracle,2,105
112,orange,2,oracle,1,106
113,blue,1,oracle,2,106
114,orange,1,oracle,1,106
115,purple,1,oracle,1,106
116,blue,1,oracle,2,106
117,orange,3,oracle,1,107
118,red,6,oracle,9,107
119,orange,1,oracle,1,107
120,orange,1,oracle,1,107
121,purple,1,oracle,1,107
122,purple,2,oracle,1,108
123,orange,5,oracle,1,109
124,red,5,oracle,9,109
125,purple,1,oracle,1,109
126,orange,1,oracle,1,109
127,blue,1,oracle,2,109
128,orange,1,oracle,1,109
129,blue,1,oracle,2,109
130,red,1,oracle,9,109
131,orange,1,oracle,1,109
132,blue,2,oracle,2,109
133,orange,1,oracle,1,109
134,purple,1,oracle,1,109
135,red,10,oracle,9,118
136,purple,1,oracle,1,118
137,purple,2,oracle,1,119
138,orange,1,oracle,1,119
139,purple,1,oracle,1,119
140,purple,1,oracle,1,119
141,red,2,oracle,9,119
142,purple,1,oracle,1,119
143,red,20,oracle,9,128
144,red,2,oracle,9,128
145,orange,1,oracle,1,128
146,orange,1,oracle,1,128
147,orange,1,oracle,1,128
148,blue,2,oracle,2,128
149,blue,1,oracle,2,128
150,orange,1,oracle,1,128
151,purple,1,oracle,1,128
152,orange,1,oracle,1,128
153,red,7,oracle,9,128
154,red,11,oracle,9,137
155,red,1,oracle,9,137
