balloon_id,balloon_color,pop_time,strategy_name,threshold,end_PnL
0,orange,2,0_0_greedy,1,1
1,orange,1,0_0_greedy,3,1
2,orange,1,0_0_greedy,1,1
3,orange,1,0_0_greedy,1,1
4,blue,1,0_0_greedy,1,1
5,orange,1,0_0_greedy,1,1
6,purple,1,0_0_greedy,1,1
7,orange,1,0_0_greedy,1,1
8,red,25,0_0_greedy,1,2
9,orange,3,0_0_greedy,1,3
10,red,4,0_0_greedy,3,6
11,blue,1,0_0_greedy,1,6
12,purple,1,0_0_greedy,1,6
13,red,6,0_0_greedy,6,6
14,red,2,0_0_greedy,6,6
15,purple,1,0_0_greedy,1,6
16,purple,1,0_0_greedy,1,6
17,blue,3,0_0_greedy,1,7
18,purple,1,0_0_greedy,1,7
19,purple,2,0_0_greedy,1,8
20,purple,1,0_0_greedy,1,8
21,orange,1,0_0_greedy,1,8
22,blue,3,0_0_greedy,1,9
23,blue,1,0_0_greedy,1,9
24,purple,1,0_0_greedy,1,9
25,blue,3,0_0_greedy,1,10
26,red,8,0_0_greedy,4,14
27,orange,1,0_0_greedy,1,14
28,red,20,0_0_greedy,6,20
29,orange,1,0_0_greedy,1,20
30,orange,1,0_0_greedy,1,20
31,purple,1,0_0_greedy,1,20
32,purple,1,0_0_greedy,1,20
33,orange,2,0_0_greedy,1,21
34,red,5,0_0_greedy,7,21
35,orange,2,0_0_greedy,1,22
36,red,28,0_0_greedy,7,29
37,blue,2,0_0_greedy,1,30
38,blue,2,0_0_greedy,2,30
39,orange,1,0_0_greedy,1,30
40,orange,1,0_0_greedy,1,30
41,purple,1,0_0_greedy,1,30
42,red,10,0_0_greedy,8,38
43,red,5,0_0_greedy,10,38
44,purple,2,0_0_greedy,1,39
45,blue,1,0_0_greedy,2,39
46,orange,1,0_0_greedy,1,39
47,red,12,0_0_greedy,9,48
48,orange,1,0_0_greedy,1,48
49,blue,2,0_0_greedy,1,49
50,purple,2,0_0_greedy,1,50
51,red,2,0_0_greedy,11,50
52,orange,4,0_0_greedy,1,51
53,blue,1,0_0_greedy,2,51
54,red,9,0_0_greedy,9,51
55,purple,1,0_0_greedy,1,51
56,red,7,0_0_greedy,9,51
57,orange,2,0_0_greedy,1,52
58,orange,2,0_0_greedy,1,53
59,red,3,0_0_greedy,9,53
60,purple,3,0_0_greedy,1,54
61,blue,5,0_0_greedy,1,55
62,orange,1,0_0_greedy,1,55
63,orange,1,0_0_greedy,1,55
64,red,8,0_0_greedy,8,55
65,red,1,0_0_greedy,8,55
66,purple,1,0_0_greedy,1,55
67,purple,1,0_0_greedy,1,55
68,blue,2,0_0_greedy,2,55
69,red,2,0_0_greedy,7,55
70,blue,4,0_0_greedy,2,57
71,orange,1,0_0_greedy,1,57
72,purple,1,0_0_greedy,1,57
73,purple,4,0_0_greedy,1,58
74,red,1,0_0_greedy,7,58
75,orange,1,0_0_greedy,1,58
76,blue,2,0_0_greedy,2,58
77,orange,1,0_0_greedy,1,58
78,purple,2,0_0_greedy,1,59
79,orange,1,0_0_greedy,1,59
80,purple,1,0_0_greedy,1,59
81,blue,3,0_0_greedy,2,61
82,purple,3,0_0_greedy,1,62
83,purple,1,0_0_greedy,1,62
84,orange,2,0_0_greedy,1,63
85,red,5,0_0_greedy,7,63
86,purple,2,0_0_greedy,1,64
87,purple,1,0_0_greedy,1,64
88,orange,1,0_0_greedy,1,64
89,blue,1,0_0_greedy,2,64
90,purple,1,0_0_greedy,1,64
91,blue,1,0_0_greedy,2,64
92,orange,1,0_0_greedy,1,64
93,purple,1,0_0_greedy,1,64
94,purple,1,0_0_greedy,1,64
95,purple,1,0_0_greedy,1,64
96,orange,1,0_0_greedy,1,64
97,orange,1,0_0_greedy,1,64
98,orange,4,0_0_greedy,1,65
99,purple,1,0_0_greedy,1,65
100,red,30,0_0_greedy,6,71
101,blue,4,0_0_greedy,2,73
102,orange,2,0_0_greedy,1,74
103,purple,2,0_0_greedy,1,75
104,blue,1,0_0_greedy,2,75
105,blue,1,0_0_greedy,2,75
106,orange,1,0_0_greedy,1,75
107,blue,1,0_0_greedy,2,75
108,purple,1,0_0_greedy,1,75
109,orange,1,0_0_greedy,1,75
110,blue,2,0_0_greedy,2,75
111,purple,2,0_0_greedy,1,76
112,red,17,0_0_greedy,7,83
113,red,7,0_0_greedy,7,83
114,blue,1,0_0_greedy,2,83
115,red,4,0_0_greedy,7,83
116,orange,1,0_0_greedy,1,83
117,purple,1,0_0_greedy,1,83
118,orange,6,0_0_greedy,1,84
119,purple,1,0_0_greedy,1,84
120,red,37,0_0_greedy,7,91
121,blue,1,0_0_greedy,2,91
122,purple,1,0_0_greedy,1,91
123,purple,1,0_0_greedy,1,91
124,blue,1,0_0_greedy,1,91
125,purple,1,0_0_greedy,1,91
126,purple,1,0_0_greedy,1,91
127,red,20,0_0_greedy,7,98
128,orange,1,0_0_greedy,1,98
129,orange,1,0_0_greedy,1,98
130,orange,1,0_0_greedy,1,98
131,blue,1,0_0_greedy,1,98
132,red,23,0_0_greedy,8,106
133,purple,1,0_0_greedy,1,106
134,blue,1,0_0_greedy,1,106
135,red,8,0_0_greedy,8,106
136,orange,1,0_0_greedy,1,106
137,red,2,0_0_greedy,8,106
138,blue,4,0_0_greedy,1,107
139,purple,1,0_0_greedy,1,107
140,purple,2,0_0_greedy,1,108
141,purple,1,0_0_greedy,1,108
142,orange,1,0_0_greedy,1,108
143,orange,2,0_0_greedy,1,109
144,purple,1,0_0_greedy,1,109
145,purple,1,0_0_greedy,1,109
146,red,4,0_0_greedy,8,109
147,purple,2,0_0_greedy,1,110
148,orange,3,0_0_greedy,1,111
149,orange,1,0_0_greedy,1,111
150,orange,1,0_0_greedy,1,111
151,blue,1,0_0_greedy,1,111
152,purple,3,0_0_greedy,1,112
153,blue,4,0_0_greedy,1,113
154,orange,2,0_0_greedy,1,114
155,red,12,0_0_greedy,8,122
156,red,6,0_0_greedy,8,122
157,red,18,0_0_greedy,8,130
158,purple,2,0_0_greedy,1,131
159,blue,1,0_0_greedy,1,131
160,purple,2,0_0_greedy,1,132
161,red,13,0_0_greedy,8,140
162,purple,1,0_0_greedy,1,140
163,purple,1,0_0_greedy,1,140
164,red,12,0_0_greedy,9,149
165,orange,2,0_0_greedy,1,150
166,orange,1,0_0_greedy,1,150
167,red,9,0_0_greedy,9,150
168,orange,3,0_0_greedy,1,151
169,red,29,0_0_greedy,9,160
170,red,6,0_0_greedy,10,160
171,purple,1,0_0_greedy,1,160
172,purple,1,0_0_greedy,1,160
173,purple,1,0_0_greedy,1,160
174,blue,5,0_0_greedy,1,161
175,red,1,0_0_greedy,9,161
176,blue,1,0_0_greedy,1,161
177,blue,1,0_0_greedy,1,161
178,blue,2,0_0_greedy,1,162
179,blue,1,0_0_greedy,1,162
180,purple,1,0_0_greedy,1,162
181,orange,1,0_0_greedy,1,162
182,orange,1,0_0_greedy,1,162
183,red,3,0_0_greedy,9,162
184,purple,1,0_0_greedy,1,162
185,red,10,0_0_greedy,9,171
186,red,1,0_0_greedy,9,171
187,red,15,0_0_greedy,9,180
188,red,28,0_0_greedy,9,189
189,orange,1,0_0_greedy,1,189
190,purple,1,0_0_greedy,1,189
191,blue,2,0_0_greedy,1,190
192,purple,1,0_0_greedy,1,190
193,purple,1,0_0_greedy,1,190
194,blue,1,0_0_greedy,1,190
195,purple,2,0_0_greedy,1,191
196,red,10,0_0_greedy,10,191
197,purple,1,0_0_greedy,1,191
198,blue,2,0_0_greedy,1,192
199,purple,1,0_0_greedy,1,192
200,orange,2,0_0_greedy,1,193
201,purple,1,0_0_greedy,1,193
202,red,5,0_0_greedy,10,193
203,blue,14,0_0_greedy,1,194
204,red,6,0_0_greedy,9,194
205,orange,3,0_0_greedy,1,195
206,blue,2,0_0_greedy,1,196
207,red,26,0_0_greedy,9,205
208,purple,1,0_0_greedy,1,205
209,red,1,0_0_greedy,10,205
210,purple,1,0_0_greedy,1,205
211,orange,2,0_0_greedy,1,206
212,red,2,0_0_greedy,9,206
213,purple,1,0_0_greedy,1,206
214,purple,1,0_0_greedy,1,206
215,blue,2,0_0_greedy,1,207
216,blue,4,0_0_greedy,1,208
217,blue,2,0_0_greedy,2,208
218,purple,1,0_0_greedy,1,208
219,orange,1,0_0_greedy,1,208
220,orange,4,0_0_greedy,1,209
221,red,3,0_0_greedy,9,209
222,orange,1,0_0_greedy,1,209
223,blue,1,0_0_greedy,2,209
224,purple,1,0_0_greedy,1,209
225,blue,2,0_0_greedy,1,210
226,blue,1,0_0_greedy,2,210
227,orange,2,0_0_greedy,1,211
228,red,38,0_0_greedy,9,220
229,red,9,0_0_greedy,9,220
230,red,13,0_0_greedy,9,229
231,orange,1,0_0_greedy,1,229
232,purple,1,0_0_greedy,1,229
233,blue,1,0_0_greedy,1,229
234,orange,3,0_0_greedy,1,230
235,purple,1,0_0_greedy,1,230
236,purple,1,0_0_greedy,1,230
237,orange,1,0_0_greedy,1,230
238,blue,5,0_0_greedy,1,231
239,orange,1,0_0_greedy,1,231
240,orange,1,0_0_greedy,1,231
241,blue,1,0_0_greedy,1,231
242,red,8,0_0_greedy,9,231
243,orange,4,0_0_greedy,1,232
244,red,3,0_0_greedy,9,232
245,red,1,0_0_greedy,9,232
246,red,10,0_0_greedy,9,241
247,purple,1,0_0_greedy,1,241
248,blue,3,0_0_greedy,1,242
249,blue,1,0_0_greedy,1,242
250,red,13,0_0_greedy,9,251
251,red,4,0_0_greedy,9,251
252,red,17,0_0_greedy,9,260
253,orange,1,0_0_greedy,1,260
254,orange,1,0_0_greedy,1,260
255,purple,2,0_0_greedy,1,261
256,orange,1,0_0_greedy,1,261
257,red,1,0_0_greedy,9,261
258,blue,3,0_0_greedy,1,262
259,red,1,0_0_greedy,9,262
260,orange,1,0_0_greedy,1,262
261,red,2,0_0_greedy,9,262
262,purple,1,0_0_greedy,1,262
263,orange,1,0_0_greedy,1,262
264,orange,1,0_0_greedy,1,262
265,orange,1,0_0_greedy,1,262
266,purple,3,0_0_greedy,1,263
267,blue,1,0_0_greedy,1,263
268,orange,2,0_0_greedy,1,264
269,blue,2,0_0_greedy,1,265
270,red,5,0_0_greedy,9,265
271,red,1,0_0_greedy,9,265
272,orange,4,0_0_greedy,1,266
273,red,4,0_0_greedy,8,266
274,orange,3,0_0_greedy,1,267
275,blue,1,0_0_greedy,1,267
276,orange,1,0_0_greedy,1,267
277,blue,1,0_0_greedy,1,267
278,blue,4,0_0_greedy,1,268
279,purple,1,0_0_greedy,1,268
280,red,2,0_0_greedy,8,268
281,red,19,0_0_greedy,8,276
282,blue,6,0_0_greedy,1,277
283,red,23,0_0_greedy,8,285
284,orange,1,0_0_greedy,1,285
285,blue,6,0_0_greedy,1,286
286,red,38,0_0_greedy,9,295
287,blue,2,0_0_greedy,2,295
288,blue,5,0_0_greedy,2,297
289,blue,2,0_0_greedy,2,297
290,orange,1,0_0_greedy,1,297
291,orange,2,0_0_greedy,1,298
292,blue,1,0_0_greedy,2,298
293,blue,1,0_0_greedy,2,298
294,red,16,0_0_greedy,9,307
295,red,13,0_0_greedy,9,316
296,red,20,0_0_greedy,9,325
297,orange,1,0_0_greedy,1,325
298,red,6,0_0_greedy,9,325
299,blue,3,0_0_greedy,2,327
