balloon_id,balloon_color,pop_time,strategy_name,threshold,end_PnL
0,red,28,thompson_sampling,1,1
1,purple,1,thompson_sampling,1,1
2,orange,2,thompson_sampling,1,2
3,orange,1,thompson_sampling,14,2
4,purple,1,thompson_sampling,1,2
5,blue,3,thompson_sampling,1,3
6,orange,1,thompson_sampling,1,3
7,red,4,thompson_sampling,1,4
8,blue,7,thompson_sampling,4,8
9,red,12,thompson_sampling,26,8
10,red,55,thompson_sampling,29,37
11,purple,1,thompson_sampling,1,37
12,blue,2,thompson_sampling,3,37
13,purple,1,thompson_sampling,1,37
14,orange,1,thompson_sampling,1,37
15,blue,6,thompson_sampling,2,39
16,blue,1,thompson_sampling,6,39
17,red,1,thompson_sampling,42,39
18,blue,4,thompson_sampling,4,39
19,red,10,thompson_sampling,34,39
20,purple,2,thompson_sampling,1,40
21,orange,1,thompson_sampling,1,40
22,red,7,thompson_sampling,12,40
23,blue,7,thompson_sampling,5,45
24,orange,1,thompson_sampling,1,45
25,orange,1,thompson_sampling,1,45
26,blue,3,thompson_sampling,9,45
27,red,6,thompson_sampling,10,45
28,orange,1,thompson_sampling,1,45
29,blue,4,thompson_sampling,9,45
30,red,12,thompson_sampling,23,45
31,purple,1,thompson_sampling,1,45
32,orange,1,thompson_sampling,1,45
33,blue,4,thompson_sampling,3,48
34,orange,3,thompson_sampling,1,49
35,blue,1,thompson_sampling,3,49
36,orange,3,thompson_sampling,1,50
37,blue,1,thompson_sampling,7,50
38,blue,4,thompson_sampling,5,50
39,blue,2,thompson_sampling,5,50
40,blue,1,thompson_sampling,2,50
41,purple,1,thompson_sampling,1,50
42,purple,1,thompson_sampling,1,50
43,blue,3,thompson_sampling,4,50
44,red,1,thompson_sampling,7,50
45,orange,1,thompson_sampling,1,50
46,orange,1,thompson_sampling,1,50
47,red,6,thompson_sampling,10,50
48,orange,2,thompson_sampling,1,51
49,orange,1,thompson_sampling,1,51
50,purple,1,thompson_sampling,1,51
51,purple,1,thompson_sampling,1,51
52,orange,2,thompson_sampling,1,52
53,orange,1,thompson_sampling,2,52
54,orange,2,thompson_sampling,1,53
55,red,11,thompson_sampling,13,53
56,red,1,thompson_sampling,17,53
57,purple,2,thompson_sampling,1,54
58,purple,1,thompson_sampling,1,54
59,orange,2,thompson_sampling,2,54
60,purple,1,thompson_sampling,1,54
61,orange,1,thompson_sampling,1,54
62,purple,1,thompson_sampling,1,54
63,orange,1,thompson_sampling,1,54
64,blue,5,thompson_sampling,3,57
65,red,11,thompson_sampling,7,64
66,orange,1,thompson_sampling,1,64
67,blue,1,thompson_sampling,3,64
68,purple,1,thompson_sampling,1,64
69,purple,1,thompson_sampling,1,64
70,purple,2,thompson_sampling,1,65
71,blue,1,thompson_sampling,3,65
72,orange,2,thompson_sampling,1,66
73,red,5,thompson_sampling,5,66
74,blue,1,thompson_sampling,2,66
75,red,9,thompson_sampling,14,66
76,red,46,thompson_sampling,9,75
77,orange,1,thompson_sampling,1,75
78,orange,2,thompson_sampling,1,76
79,red,25,thompson_sampling,14,90
80,blue,3,thompson_sampling,2,92
81,purple,1,thompson_sampling,1,92
82,red,14,thompson_sampling,12,104
83,blue,3,thompson_sampling,2,106
84,orange,1,thompson_sampling,1,106
85,purple,1,thompson_sampling,1,106
86,red,1,thompson_sampling,11,106
87,blue,1,thompson_sampling,2,106
88,orange,1,thompson_sampling,1,106
89,purple,1,thompson_sampling,1,106
90,purple,1,thompson_sampling,1,106
91,blue,1,thompson_sampling,2,106
92,purple,1,thompson_sampling,1,106
93,blue,3,thompson_sampling,2,108
94,red,4,thompson_sampling,11,108
95,orange,1,thompson_sampling,1,108
96,purple,1,thompson_sampling,1,108
97,purple,1,thompson_sampling,1,108
98,orange,2,thompson_sampling,1,109
99,blue,1,thompson_sampling,3,109
100,blue,5,thompson_sampling,3,112
101,orange,2,thompson_sampling,1,113
102,purple,2,thompson_sampling,1,114
103,red,18,thompson_sampling,12,126
104,purple,2,thompson_sampling,1,127
105,orange,2,thompson_sampling,1,128
106,blue,1,thompson_sampling,4,128
107,red,20,thompson_sampling,10,138
108,blue,1,thompson_sampling,4,138
109,blue,3,thompson_sampling,2,140
110,blue,2,thompson_sampling,3,140
111,blue,7,thompson_sampling,4,144
112,purple,1,thompson_sampling,1,144
113,orange,1,thompson_sampling,1,144
114,orange,5,thompson_sampling,1,145
115,red,14,thompson_sampling,18,145
116,purple,1,thompson_sampling,1,145
117,purple,1,thompson_sampling,1,145
118,orange,1,thompson_sampling,1,145
119,orange,1,thompson_sampling,2,145
120,purple,1,thompson_sampling,1,145
121,red,15,thompson_sampling,9,154
122,purple,1,thompson_sampling,1,154
123,orange,1,thompson_sampling,1,154
124,orange,1,thompson_sampling,1,154
125,purple,2,thompson_sampling,1,155
126,purple,2,thompson_sampling,1,156
127,red,9,thompson_sampling,9,156
128,purple,1,thompson_sampling,1,156
129,orange,1,thompson_sampling,1,156
130,red,26,thompson_sampling,21,177
131,purple,1,thompson_sampling,1,177
132,blue,2,thompson_sampling,2,177
133,blue,3,thompson_sampling,3,177
134,red,6,thompson_sampling,16,177
135,blue,6,thompson_sampling,3,180
136,red,1,thompson_sampling,15,180
137,purple,1,thompson_sampling,1,180
138,purple,1,thompson_sampling,1,180
139,red,34,thompson_sampling,9,189
140,orange,1,thompson_sampling,1,189
141,blue,4,thompson_sampling,4,189
142,blue,1,thompson_sampling,3,189
143,blue,1,thompson_sampling,4,189
144,orange,1,thompson_sampling,1,189
145,blue,1,thompson_sampling,3,189
146,red,1,thompson_sampling,11,189
147,orange,1,thompson_sampling,1,189
148,orange,3,thompson_sampling,1,190
149,purple,1,thompson_sampling,1,190
150,purple,1,thompson_sampling,1,190
151,blue,1,thompson_sampling,3,190
152,red,14,thompson_sampling,10,200
153,purple,1,thompson_sampling,1,200
154,blue,2,thompson_sampling,3,200
155,purple,1,thompson_sampling,1,200
156,purple,1,thompson_sampling,1,200
157,purple,1,thompson_sampling,1,200
158,red,3,thompson_sampling,17,200
159,red,6,thompson_sampling,12,200
160,blue,4,thompson_sampling,3,203
161,blue,1,thompson_sampling,2,203
162,blue,1,thompson_sampling,3,203
163,blue,1,thompson_sampling,2,203
164,purple,1,thompson_sampling,1,203
165,purple,1,thompson_sampling,1,203
166,red,8,thompson_sampling,13,203
167,orange,1,thompson_sampling,1,203
168,red,1,thompson_sampling,21,203
169,red,11,thompson_sampling,13,203
170,red,2,thompson_sampling,10,203
171,red,4,thompson_sampling,9,203
172,blue,5,thompson_sampling,2,205
173,orange,3,thompson_sampling,1,206
174,red,4,thompson_sampling,13,206
175,blue,2,thompson_sampling,2,206
176,purple,2,thompson_sampling,1,207
177,purple,1,thompson_sampling,1,207
178,red,10,thompson_sampling,10,207
179,orange,1,thompson_sampling,1,207
180,purple,1,thompson_sampling,1,207
181,purple,2,thompson_sampling,1,208
182,red,4,thompson_sampling,15,208
183,red,3,thompson_sampling,10,208
184,orange,1,thompson_sampling,1,208
185,blue,1,thompson_sampling,2,208
186,purple,2,thompson_sampling,1,209
187,purple,1,thompson_sampling,1,209
188,orange,3,thompson_sampling,1,210
189,blue,1,thompson_sampling,2,210
190,orange,1,thompson_sampling,1,210
191,purple,2,thompson_sampling,1,211
192,blue,2,thompson_sampling,2,211
193,red,8,thompson_sampling,10,211
194,orange,1,thompson_sampling,1,211
195,red,4,thompson_sampling,9,211
196,red,22,thompson_sampling,8,219
197,red,3,thompson_sampling,12,219
198,purple,1,thompson_sampling,1,219
199,blue,1,thompson_sampling,2,219
200,blue,3,thompson_sampling,2,221
201,purple,1,thompson_sampling,1,221
202,red,9,thompson_sampling,11,221
203,blue,2,thompson_sampling,2,221
204,purple,1,thompson_sampling,1,221
205,blue,3,thompson_sampling,2,223
206,red,5,thompson_sampling,14,223
207,blue,1,thompson_sampling,2,223
208,red,4,thompson_sampling,9,223
209,orange,2,thompson_sampling,1,224
210,blue,1,thompson_sampling,2,224
211,purple,1,thompson_sampling,1,224
212,orange,1,thompson_sampling,1,224
213,orange,2,thompson_sampling,1,225
214,orange,1,thompson_sampling,2,225
215,red,6,thompson_sampling,9,225
216,red,5,thompson_sampling,12,225
217,red,21,thompson_sampling,11,236
218,blue,2,thompson_sampling,2,236
219,purple,1,thompson_sampling,1,236
220,red,22,thompson_sampling,9,245
221,blue,1,thompson_sampling,3,245
222,blue,2,thompson_sampling,3,245
223,red,10,thompson_sampling,9,254
224,purple,1,thompson_sampling,1,254
225,orange,1,thompson_sampling,1,254
226,orange,1,thompson_sampling,1,254
227,red,2,thompson_sampling,11,254
228,orange,1,thompson_sampling,1,254
229,blue,3,thompson_sampling,2,256
230,purple,1,thompson_sampling,1,256
231,orange,3,thompson_sampling,1,257
232,red,2,thompson_sampling,11,257
233,orange,3,thompson_sampling,1,258
234,red,17,thompson_sampling,8,266
235,blue,2,thompson_sampling,2,266
236,blue,1,thompson_sampling,3,266
237,purple,1,thompson_sampling,1,266
238,red,1,thompson_sampling,11,266
239,orange,3,thompson_sampling,1,267
240,orange,1,thompson_sampling,1,267
241,blue,2,thompson_sampling,2,267
242,purple,1,thompson_sampling,1,267
243,orange,1,thompson_sampling,1,267
244,orange,2,thompson_sampling,1,268
245,orange,1,thompson_sampling,1,268
246,blue,3,thompson_sampling,2,270
247,red,12,thompson_sampling,11,281
248,red,2,thompson_sampling,9,281
249,red,2,thompson_sampling,8,281
250,red,10,thompson_sampling,8,289
251,blue,1,thompson_sampling,3,289
252,red,9,thompson_sampling,9,289
253,purple,1,thompson_sampling,1,289
254,orange,1,thompson_sampling,1,289
255,orange,2,thompson_sampling,1,290
256,red,22,thompson_sampling,10,300
257,purple,1,thompson_sampling,1,300
258,orange,1,thompson_sampling,1,300
259,red,5,thompson_sampling,10,300
260,purple,2,thompson_sampling,1,301
261,blue,1,thompson_sampling,2,301
262,purple,1,thompson_sampling,1,301
263,red,5,thompson_sampling,8,301
264,orange,1,thompson_sampling,1,301
265,red,9,thompson_sampling,9,301
266,orange,1,thompson_sampling,1,301
267,red,9,thompson_sampling,11,301
268,red,15,thompson_sampling,8,309
269,purple,2,thompson_sampling,1,310
270,purple,3,thompson_sampling,1,311
271,orange,2,thompson_sampling,1,312
272,orange,1,thompson_sampling,1,312
273,orange,1,thompson_sampling,1,312
274,red,16,thompson_sampling,9,321
275,orange,2,thompson_sampling,1,322
276,red,13,thompson_sampling,8,330
277,purple,1,thompson_sampling,1,330
278,orange,1,thompson_sampling,1,330
279,orange,1,thompson_sampling,1,330
280,orange,1,thompson_sampling,1,330
281,red,7,thompson_sampling,8,330
282,purple,1,thompson_sampling,1,330
283,orange,2,thompson_sampling,1,331
284,orange,1,thompson_sampling,1,331
285,blue,1,thompson_sampling,2,331
286,purple,1,thompson_sampling,1,331
