balloon_id,balloon_color,pop_time,strategy_name,threshold,end_PnL
0,purple,1,guess_9,7,0
1,red,4,guess_9,2,2
2,purple,1,guess_9,4,2
3,red,1,guess_9,4,2
4,orange,1,guess_9,7,2
5,orange,1,guess_9,6,2
6,orange,1,guess_9,1,2
7,purple,1,guess_9,4,2
8,orange,3,guess_9,4,2
9,blue,3,guess_9,1,3
10,orange,1,guess_9,3,3
11,blue,1,guess_9,3,3
12,orange,2,guess_9,7,3
13,purple,1,guess_9,2,3
14,orange,1,guess_9,5,3
15,purple,2,guess_9,8,3
16,red,10,guess_9,5,8
17,purple,1,guess_9,3,8
18,red,2,guess_9,5,8
19,blue,1,guess_9,6,8
20,orange,2,guess_9,4,8
21,purple,1,guess_9,4,8
22,purple,1,guess_9,2,8
23,purple,1,guess_9,2,8
24,red,1,guess_9,2,8
25,orange,1,guess_9,1,8
26,orange,1,guess_9,7,8
27,red,1,guess_9,8,8
28,orange,1,guess_9,7,8
29,purple,1,guess_9,8,8
30,purple,1,guess_9,1,8
31,purple,1,guess_9,1,8
32,red,10,guess_9,8,16
33,red,1,guess_9,1,16
34,blue,3,guess_9,7,16
35,purple,1,guess_9,1,16
36,orange,1,guess_9,1,16
37,orange,2,guess_9,4,16
38,purple,1,guess_9,3,16
39,blue,5,guess_9,7,16
40,orange,1,guess_9,5,16
41,red,6,guess_9,6,16
42,red,5,guess_9,1,17
43,blue,3,guess_9,7,17
44,purple,1,guess_9,7,17
45,blue,1,guess_9,2,17
46,blue,1,guess_9,6,17
47,purple,2,guess_9,3,17
48,purple,1,guess_9,4,17
49,blue,3,guess_9,7,17
50,orange,1,guess_9,8,17
51,orange,1,guess_9,1,17
52,blue,1,guess_9,3,17
53,purple,1,guess_9,7,17
54,purple,1,guess_9,3,17
55,blue,9,guess_9,2,19
56,blue,2,guess_9,8,19
57,orange,1,guess_9,7,19
58,red,1,guess_9,7,19
59,blue,2,guess_9,4,19
60,blue,1,guess_9,3,19
61,purple,1,guess_9,6,19
62,blue,2,guess_9,6,19
63,blue,3,guess_9,8,19
64,orange,1,guess_9,3,19
65,red,11,guess_9,7,26
66,red,4,guess_9,3,29
67,purple,1,guess_9,8,29
68,blue,8,guess_9,1,30
69,purple,1,guess_9,7,30
70,purple,2,guess_9,4,30
71,red,3,guess_9,2,32
72,blue,3,guess_9,5,32
73,red,7,guess_9,2,34
74,blue,2,guess_9,8,34
75,orange,1,guess_9,1,34
76,orange,5,guess_9,8,34
77,purple,1,guess_9,6,34
78,blue,8,guess_9,6,40
79,red,5,guess_9,1,41
80,red,6,guess_9,2,43
81,red,1,guess_9,4,43
82,orange,1,guess_9,6,43
83,orange,1,guess_9,7,43
84,blue,2,guess_9,5,43
85,red,8,guess_9,6,49
86,purple,1,guess_9,8,49
87,purple,1,guess_9,6,49
88,purple,2,guess_9,1,50
89,red,4,guess_9,5,50
90,purple,2,guess_9,6,50
91,orange,1,guess_9,8,50
92,orange,1,guess_9,4,50
93,purple,1,guess_9,7,50
94,red,2,guess_9,7,50
95,blue,3,guess_9,3,50
96,orange,1,guess_9,7,50
97,red,1,guess_9,3,50
98,orange,2,guess_9,2,50
99,blue,4,guess_9,5,50
100,purple,1,guess_9,2,50
101,orange,1,guess_9,1,50
102,blue,2,guess_9,3,50
103,red,9,guess_9,6,56
