balloon_id,balloon_color,pop_time,strategy_name,threshold,end_PnL
0,blue,1,constant_pump_5,5,0
0,blue,1,thompson_sampling,1,0
1,blue,3,constant_pump_5,5,0
1,blue,3,thompson_sampling,2,2
2,red,12,constant_pump_5,5,6
2,red,12,thompson_sampling,1,2
3,blue,1,constant_pump_5,5,6
3,blue,1,thompson_sampling,2,2
4,blue,6,constant_pump_5,5,13
4,blue,6,thompson_sampling,2,2
5,blue,3,constant_pump_5,5,13
5,blue,3,thompson_sampling,1,3
6,orange,1,constant_pump_5,5,13
6,orange,1,thompson_sampling,1,3
7,orange,1,constant_pump_5,5,13
7,orange,1,thompson_sampling,1,3
8,blue,5,constant_pump_5,5,13
8,blue,5,thompson_sampling,2,5
9,orange,1,constant_pump_5,5,13
9,orange,1,thompson_sampling,1,5
10,orange,1,constant_pump_5,5,13
10,orange,1,thompson_sampling,1,5
11,orange,1,constant_pump_5,5,13
11,orange,1,thompson_sampling,1,5
12,red,7,constant_pump_5,5,19
12,red,7,thompson_sampling,1,5
13,orange,3,constant_pump_5,5,19
13,orange,3,thompson_sampling,1,6
14,orange,1,constant_pump_5,5,19
14,orange,1,thompson_sampling,1,6
15,red,8,constant_pump_5,5,28
15,red,8,thompson_sampling,4,6
16,blue,1,constant_pump_5,5,28
16,blue,1,thompson_sampling,2,6
17,blue,3,constant_pump_5,5,28
17,blue,3,thompson_sampling,2,8
18,orange,1,constant_pump_5,5,28
18,orange,1,thompson_sampling,1,8
19,red,8,constant_pump_5,5,33
19,red,8,thompson_sampling,8,8
20,red,3,constant_pump_5,5,33
20,red,3,thompson_sampling,17,8
21,red,4,constant_pump_5,5,33
21,red,4,thompson_sampling,10,8
22,red,2,constant_pump_5,5,33
22,red,2,thompson_sampling,4,8
23,orange,1,constant_pump_5,5,33
23,orange,1,thompson_sampling,1,8
24,orange,1,constant_pump_5,5,33
24,orange,1,thompson_sampling,1,8
25,blue,3,constant_pump_5,5,33
25,blue,3,thompson_sampling,10,8
26,blue,1,constant_pump_5,5,33
26,blue,1,thompson_sampling,3,8
27,blue,1,constant_pump_5,5,33
27,blue,1,thompson_sampling,3,8
28,orange,1,constant_pump_5,5,33
28,orange,1,thompson_sampling,1,8
29,orange,1,constant_pump_5,5,33
29,orange,1,thompson_sampling,1,8
30,blue,5,constant_pump_5,5,33
30,blue,5,thompson_sampling,3,11
31,red,6,constant_pump_5,5,38
31,red,6,thompson_sampling,8,11
32,red,9,constant_pump_5,5,43
32,red,9,thompson_sampling,10,11
33,orange,1,constant_pump_5,5,43
33,orange,1,thompson_sampling,1,11
34,orange,3,constant_pump_5,5,43
34,orange,3,thompson_sampling,1,12
35,blue,1,constant_pump_5,5,43
35,blue,1,thompson_sampling,3,12
36,red,6,constant_pump_5,5,48
36,red,6,thompson_sampling,9,12
37,orange,1,constant_pump_5,5,48
37,orange,1,thompson_sampling,1,12
38,blue,2,constant_pump_5,5,48
38,blue,2,thompson_sampling,3,12
39,orange,1,constant_pump_5,5,48
39,orange,1,thompson_sampling,1,12
40,red,9,constant_pump_5,5,48
40,red,9,thompson_sampling,6,23
41,blue,1,constant_pump_5,5,48
41,blue,1,thompson_sampling,4,23
42,orange,1,constant_pump_5,5,48
42,orange,1,thompson_sampling,1,23
43,blue,2,constant_pump_5,5,48
43,blue,2,thompson_sampling,1,24
44,red,1,constant_pump_5,5,48
44,red,1,thompson_sampling,5,24
45,blue,3,constant_pump_5,5,48
45,blue,3,thompson_sampling,1,25
46,blue,1,constant_pump_5,5,48
46,blue,1,thompson_sampling,2,25
47,orange,2,constant_pump_5,5,48
47,orange,2,thompson_sampling,1,26
48,orange,1,constant_pump_5,5,48
48,orange,1,thompson_sampling,1,26
49,orange,1,constant_pump_5,5,48
49,orange,1,thompson_sampling,1,26
50,red,7,constant_pump_5,5,48
50,red,7,thompson_sampling,6,37
51,blue,2,constant_pump_5,5,48
51,blue,2,thompson_sampling,2,37
52,blue,3,constant_pump_5,5,48
52,blue,3,thompson_sampling,2,39
53,blue,1,constant_pump_5,5,48
53,blue,1,thompson_sampling,4,39
54,red,1,constant_pump_5,5,48
54,red,1,thompson_sampling,7,39
55,orange,2,constant_pump_5,5,48
55,orange,2,thompson_sampling,1,40
