balloon_id,balloon_color,pop_time,strategy_name,threshold,end_PnL
0,blue,2,oracle,4,0
1,purple,3,oracle,2,2
2,red,5,oracle,9,2
3,orange,5,oracle,3,5
4,red,5,oracle,9,5
5,orange,2,oracle,3,5
6,blue,2,oracle,4,5
7,blue,7,oracle,4,9
8,red,12,oracle,9,18
9,orange,4,oracle,3,21
10,orange,5,oracle,3,24
11,red,2,oracle,9,24
12,orange,3,oracle,3,24
13,orange,3,oracle,3,24
14,blue,4,oracle,4,24
15,blue,7,oracle,4,28
16,purple,1,oracle,2,28
17,purple,1,oracle,2,28
18,blue,1,oracle,4,28
19,purple,2,oracle,2,28
20,orange,2,oracle,3,28
21,purple,3,oracle,2,30
22,purple,7,oracle,2,32
23,purple,1,oracle,2,32
24,red,6,oracle,9,32
25,blue,3,oracle,4,32
26,orange,1,oracle,3,32
27,purple,2,oracle,2,32
28,red,8,oracle,9,32
29,blue,10,oracle,4,36
30,purple,2,oracle,2,36
31,red,4,oracle,9,36
32,red,7,oracle,9,36
33,blue,5,oracle,4,40
34,red,8,oracle,9,40
35,blue,7,oracle,4,44
36,purple,1,oracle,2,44
37,blue,1,oracle,4,44
38,orange,1,oracle,3,44
39,red,4,oracle,9,44
40,purple,1,oracle,2,44
41,purple,2,oracle,2,44
42,purple,2,oracle,2,44
43,blue,3,oracle,4,44
44,purple,1,oracle,2,44
45,blue,7,oracle,4,48
46,red,13,oracle,9,57
47,blue,10,oracle,4,61
48,purple,1,oracle,2,61
49,orange,7,oracle,3,64
50,red,7,oracle,9,64
51,purple,7,oracle,2,66
52,orange,6,oracle,3,69
53,purple,1,oracle,2,69
54,purple,1,oracle,2,69
55,blue,3,oracle,4,69
56,red,6,oracle,9,69
57,orange,1,oracle,3,69
58,orange,3,oracle,3,69
59,purple,1,oracle,2,69
60,red,3,oracle,9,69
61,purple,1,oracle,2,69
62,red,1,oracle,9,69
63,purple,4,oracle,2,71
64,blue,4,oracle,4,71
65,blue,1,oracle,4,71
66,purple,2,oracle,2,71
67,purple,2,oracle,2,71
68,purple,5,oracle,2,73
69,blue,7,oracle,4,77
70,purple,2,oracle,2,77
71,blue,9,oracle,4,81
72,blue,2,oracle,4,81
73,blue,21,oracle,4,85
74,red,5,oracle,9,85
75,red,6,oracle,9,85
76,purple,6,oracle,2,87
77,blue,7,oracle,4,91
78,blue,4,oracle,4,91
79,blue,2,oracle,4,91
80,red,27,oracle,9,100
81,red,12,oracle,9,109
82,blue,3,oracle,4,109
83,purple,4,oracle,2,111
84,red,5,oracle,9,111
85,orange,2,oracle,3,111
86,purple,1,oracle,2,111
87,orange,3,oracle,3,111
88,orange,1,oracle,3,111
89,orange,6,oracle,3,114
90,orange,1,oracle,3,114
91,purple,2,oracle,2,114
92,red,2,oracle,9,114
93,red,1,oracle,9,114
94,red,14,oracle,9,123
95,blue,9,oracle,4,127
96,blue,4,oracle,4,127
97,blue,2,oracle,4,127
98,purple,2,oracle,2,127
99,purple,1,oracle,2,127
