balloon_id,balloon_color,pop_time,strategy_name,threshold,end_PnL
0,red,6,oracle,9,0
1,red,10,oracle,9,9
2,red,1,oracle,9,9
3,red,16,oracle,9,18
4,orange,5,oracle,3,21
5,orange,1,oracle,3,21
6,blue,4,oracle,4,21
7,orange,2,oracle,3,21
8,orange,3,oracle,3,21
9,blue,1,oracle,4,21
10,purple,1,oracle,2,21
11,orange,6,oracle,3,24
12,blue,3,oracle,4,24
13,purple,1,oracle,2,24
14,red,6,oracle,9,24
15,red,1,oracle,9,24
16,purple,1,oracle,2,24
17,purple,1,oracle,2,24
18,purple,2,oracle,2,24
19,purple,1,oracle,2,24
20,red,25,oracle,9,33
21,orange,1,oracle,3,33
22,red,3,oracle,9,33
23,purple,2,oracle,2,33
24,red,18,oracle,9,42
25,orange,1,oracle,3,42
26,blue,6,oracle,4,46
27,red,3,oracle,9,46
28,blue,12,oracle,4,50
29,purple,1,oracle,2,50
30,orange,2,oracle,3,50
31,blue,3,oracle,4,50
32,red,22,oracle,9,59
33,red,6,oracle,9,59
34,blue,2,oracle,4,59
35,orange,1,oracle,3,59
36,red,2,oracle,9,59
37,orange,2,oracle,3,59
38,red,17,oracle,9,68
39,orange,2,oracle,3,68
40,purple,3,oracle,2,70
41,orange,6,oracle,3,73
42,red,23,oracle,9,82
43,orange,9,oracle,3,85
44,blue,3,oracle,4,85
45,blue,1,oracle,4,85
46,purple,1,oracle,2,85
47,red,22,oracle,9,94
48,red,3,oracle,9,94
49,purple,3,oracle,2,96
50,red,28,oracle,9,105
51,red,15,oracle,9,114
52,red,7,oracle,9,114
53,orange,5,oracle,3,117
54,orange,3,oracle,3,117
55,blue,1,oracle,4,117
56,orange,2,oracle,3,117
57,blue,10,oracle,4,121
58,red,3,oracle,9,121
59,red,5,oracle,9,121
60,purple,1,oracle,2,121
61,red,10,oracle,9,130
62,blue,10,oracle,4,134
63,red,14,oracle,9,143
64,red,9,oracle,9,143
65,purple,2,oracle,2,143
66,orange,3,oracle,3,143
67,orange,2,oracle,3,143
68,orange,3,oracle,3,143
69,orange,1,oracle,3,143
70,purple,1,oracle,2,143
71,orange,1,oracle,3,143
72,orange,2,oracle,3,143
73,purple,1,oracle,2,143
74,red,34,oracle,9,152
75,purple,5,oracle,2,154
76,red,15,oracle,9,163
77,purple,2,oracle,2,163
78,red,2,oracle,9,163
79,red,2,oracle,9,163
80,purple,2,oracle,2,163
81,blue,3,oracle,4,163
82,red,2,oracle,9,163
83,purple,2,oracle,2,163
84,red,4,oracle,9,163
85,red,9,oracle,9,163
86,blue,5,oracle,4,167
87,purple,2,oracle,2,167
88,purple,1,oracle,2,167
89,blue,5,oracle,4,171
90,purple,1,oracle,2,171
91,red,7,oracle,9,171
92,blue,3,oracle,4,171
93,red,1,oracle,9,171
94,purple,1,oracle,2,171
95,purple,1,oracle,2,171
96,blue,4,oracle,4,171
97,blue,17,oracle,4,175
98,blue,1,oracle,4,175
99,purple,1,oracle,2,175
100,orange,4,oracle,3,178
101,orange,1,oracle,3,178
102,red,1,oracle,9,178
103,purple,1,oracle,2,178
104,blue,1,oracle,4,178
105,red,31,oracle,9,187
106,orange,2,oracle,3,187
107,blue,5,oracle,4,191
108,purple,1,oracle,2,191
109,red,11,oracle,9,200
110,blue,5,oracle,4,204
111,orange,1,oracle,3,204
112,red,4,oracle,9,204
113,purple,4,oracle,2,206
114,red,70,oracle,9,215
115,blue,4,oracle,4,215
116,blue,13,oracle,4,219
117,red,4,oracle,9,219
118,blue,1,oracle,4,219
119,blue,2,oracle,4,219
120,purple,3,oracle,2,221
121,blue,7,oracle,4,225
122,blue,11,oracle,4,229
123,purple,1,oracle,2,229
124,red,7,oracle,9,229
125,blue,2,oracle,4,229
126,blue,12,oracle,4,233
127,blue,27,oracle,4,237
128,orange,6,oracle,3,240
129,purple,3,oracle,2,242
130,purple,3,oracle,2,244
131,orange,10,oracle,3,247
132,blue,8,oracle,4,251
133,orange,1,oracle,3,251
134,orange,2,oracle,3,251
135,purple,3,oracle,2,253
136,red,15,oracle,9,262
137,red,18,oracle,9,271
138,red,11,oracle,9,280
139,blue,1,oracle,4,280
140,orange,5,oracle,3,283
141,purple,2,oracle,2,283
142,blue,14,oracle,4,287
143,blue,21,oracle,4,291
144,red,6,oracle,9,291
145,blue,1,oracle,4,291
146,red,5,oracle,9,291
147,red,19,oracle,9,300
148,blue,7,oracle,4,304
149,purple,1,oracle,2,304
150,purple,2,oracle,2,304
151,purple,1,oracle,2,304
152,purple,3,oracle,2,306
153,purple,2,oracle,2,306
154,purple,1,oracle,2,306
155,blue,5,oracle,4,310
156,purple,1,oracle,2,310
157,orange,2,oracle,3,310
158,blue,1,oracle,4,310
159,blue,1,oracle,4,310
160,red,3,oracle,9,310
161,blue,9,oracle,4,314
162,blue,2,oracle,4,314
163,blue,4,oracle,4,314
164,orange,3,oracle,3,314
165,red,5,oracle,9,314
166,orange,4,oracle,3,317
167,blue,6,oracle,4,321
168,red,3,oracle,9,321
169,red,4,oracle,9,321
170,orange,1,oracle,3,321
171,orange,5,oracle,3,324
172,blue,3,oracle,4,324
173,blue,3,oracle,4,324
174,purple,4,oracle,2,326
175,red,8,oracle,9,326
176,orange,3,oracle,3,326
177,orange,9,oracle,3,329
178,red,7,oracle,9,329
179,purple,1,oracle,2,329
180,blue,5,oracle,4,333
181,blue,5,oracle,4,337
182,purple,1,oracle,2,337
