balloon_id,balloon_color,pop_time,strategy_name,threshold,end_PnL
0,orange,1,oracle,1,0
1,orange,1,oracle,1,0
2,orange,1,oracle,1,0
3,red,1,oracle,4,0
4,red,9,oracle,4,4
5,orange,1,oracle,1,4
6,red,7,oracle,4,8
7,purple,1,oracle,1,8
8,purple,1,oracle,1,8
9,blue,1,oracle,2,8
10,orange,2,oracle,1,9
11,blue,1,oracle,2,9
12,red,2,oracle,4,9
13,purple,1,oracle,1,9
14,red,5,oracle,4,13
15,blue,4,oracle,2,15
16,red,6,oracle,4,19
17,orange,1,oracle,1,19
18,red,10,oracle,4,23
19,blue,1,oracle,2,23
20,purple,1,oracle,1,23
21,purple,1,oracle,1,23
22,purple,1,oracle,1,23
23,red,5,oracle,4,27
24,purple,1,oracle,1,27
25,orange,1,oracle,1,27
26,orange,2,oracle,1,28
27,purple,1,oracle,1,28
28,blue,1,oracle,2,28
29,purple,1,oracle,1,28
30,red,1,oracle,4,28
31,purple,1,oracle,1,28
32,blue,2,oracle,2,28
33,purple,1,oracle,1,28
34,orange,1,oracle,1,28
35,red,1,oracle,4,28
36,red,1,oracle,4,28
37,purple,1,oracle,1,28
38,orange,2,oracle,1,29
39,red,2,oracle,4,29
40,red,2,oracle,4,29
41,purple,1,oracle,1,29
42,orange,5,oracle,1,30
43,blue,3,oracle,2,32
44,blue,6,oracle,2,34
45,purple,1,oracle,1,34
46,blue,3,oracle,2,36
47,blue,5,oracle,2,38
48,red,9,oracle,4,42
49,blue,2,oracle,2,42
50,red,11,oracle,4,46
51,red,1,oracle,4,46
52,blue,1,oracle,2,46
53,red,1,oracle,4,46
54,blue,5,oracle,2,48
55,orange,2,oracle,1,49
56,purple,1,oracle,1,49
57,purple,1,oracle,1,49
58,orange,1,oracle,1,49
59,orange,1,oracle,1,49
60,red,11,oracle,4,53
61,red,5,oracle,4,57
62,purple,1,oracle,1,57
63,orange,1,oracle,1,57
64,orange,1,oracle,1,57
65,purple,1,oracle,1,57
66,orange,1,oracle,1,57
67,blue,1,oracle,2,57
68,orange,3,oracle,1,58
69,purple,2,oracle,1,59
70,purple,2,oracle,1,60
71,blue,1,oracle,2,60
72,orange,1,oracle,1,60
73,purple,1,oracle,1,60
74,blue,5,oracle,2,62
75,purple,1,oracle,1,62
76,orange,1,oracle,1,62
77,orange,1,oracle,1,62
78,blue,1,oracle,2,62
79,purple,1,oracle,1,62
80,orange,1,oracle,1,62
81,blue,2,oracle,2,62
82,blue,1,oracle,2,62
83,orange,1,oracle,1,62
84,purple,1,oracle,1,62
85,red,21,oracle,4,66
86,blue,1,oracle,2,66
87,orange,1,oracle,1,66
88,blue,6,oracle,2,68
89,purple,1,oracle,1,68
90,red,5,oracle,4,72
91,purple,2,oracle,1,73
92,orange,3,oracle,1,74
93,orange,1,oracle,1,74
94,purple,1,oracle,1,74
95,blue,2,oracle,2,74
96,orange,2,oracle,1,75
97,orange,2,oracle,1,76
98,purple,1,oracle,1,76
99,red,8,oracle,4,80
100,red,1,oracle,4,80
101,orange,1,oracle,1,80
102,purple,1,oracle,1,80
103,purple,1,oracle,1,80
104,red,3,oracle,4,80
105,orange,1,oracle,1,80
106,purple,1,oracle,1,80
107,purple,1,oracle,1,80
108,blue,2,oracle,2,80
109,purple,1,oracle,1,80
110,orange,1,oracle,1,80
111,orange,1,oracle,1,80
112,orange,1,oracle,1,80
113,purple,1,oracle,1,80
114,red,1,oracle,4,80
115,orange,1,oracle,1,80
116,blue,2,oracle,2,80
117,red,7,oracle,4,84
118,orange,1,oracle,1,84
119,orange,4,oracle,1,85
120,blue,1,oracle,2,85
121,blue,3,oracle,2,87
122,red,2,oracle,4,87
