balloon_id,balloon_color,pop_time,strategy_name,threshold,end_PnL
0,red,8,guess_9,1,1
1,red,3,guess_9,5,1
2,purple,1,guess_9,6,1
3,red,1,guess_9,6,1
4,blue,2,guess_9,8,1
5,purple,1,guess_9,8,1
6,purple,1,guess_9,7,1
7,red,8,guess_9,8,1
8,blue,1,guess_9,3,1
9,red,16,guess_9,2,3
10,purple,1,guess_9,8,3
11,orange,2,guess_9,8,3
12,blue,2,guess_9,5,3
13,purple,1,guess_9,3,3
14,red,11,guess_9,7,10
15,blue,5,guess_9,4,14
16,blue,1,guess_9,6,14
17,orange,2,guess_9,1,15
18,blue,3,guess_9,6,15
19,red,6,guess_9,5,20
20,blue,5,guess_9,1,21
21,red,6,guess_9,4,25
22,purple,1,guess_9,3,25
23,blue,2,guess_9,7,25
24,red,2,guess_9,5,25
25,purple,1,guess_9,6,25
26,red,11,guess_9,4,29
27,blue,1,guess_9,3,29
28,purple,1,guess_9,2,29
29,red,4,guess_9,6,29
30,purple,1,guess_9,4,29
31,blue,4,guess_9,1,30
32,red,4,guess_9,6,30
33,red,1,guess_9,5,30
34,purple,1,guess_9,4,30
35,red,2,guess_9,4,30
36,orange,1,guess_9,5,30
37,orange,2,guess_9,5,30
38,blue,1,guess_9,1,30
39,red,5,guess_9,2,32
40,orange,1,guess_9,8,32
41,red,2,guess_9,4,32
42,orange,2,guess_9,1,33
43,purple,1,guess_9,5,33
44,blue,1,guess_9,6,33
45,orange,1,guess_9,2,33
46,blue,6,guess_9,3,36
47,orange,2,guess_9,8,36
48,blue,1,guess_9,4,36
49,purple,2,guess_9,5,36
50,purple,1,guess_9,1,36
51,purple,1,guess_9,4,36
52,orange,1,guess_9,3,36
53,purple,1,guess_9,5,36
54,purple,1,guess_9,5,36
55,orange,1,guess_9,6,36
56,orange,1,guess_9,3,36
57,blue,1,guess_9,1,36
58,red,1,guess_9,6,36
59,purple,1,guess_9,2,36
60,red,3,guess_9,7,36
61,blue,3,guess_9,2,38
62,orange,1,guess_9,5,38
63,red,2,guess_9,2,38
64,purple,1,guess_9,2,38
65,red,4,guess_9,3,41
66,purple,1,guess_9,3,41
67,blue,1,guess_9,8,41
68,red,2,guess_9,8,41
69,blue,1,guess_9,8,41
70,red,4,guess_9,2,43
71,purple,1,guess_9,3,43
72,red,5,guess_9,8,43
73,red,2,guess_9,2,43
74,blue,3,guess_9,8,43
75,red,5,guess_9,8,43
76,blue,1,guess_9,1,43
77,purple,2,guess_9,8,43
78,purple,1,guess_9,5,43
79,purple,1,guess_9,3,43
80,orange,2,guess_9,5,43
81,purple,1,guess_9,7,43
82,red,3,guess_9,4,43
83,orange,1,guess_9,7,43
84,purple,2,guess_9,3,43
85,blue,5,guess_9,6,43
86,orange,2,guess_9,5,43
87,red,3,guess_9,1,44
88,blue,2,guess_9,7,44
89,blue,5,guess_9,7,44
90,orange,4,guess_9,7,44
91,blue,2,guess_9,1,45
92,red,2,guess_9,2,45
93,purple,1,guess_9,5,45
94,purple,1,guess_9,3,45
95,purple,1,guess_9,4,45
96,blue,2,guess_9,8,45
97,purple,1,guess_9,4,45
98,red,6,guess_9,4,49
99,blue,1,guess_9,7,49
100,red,8,guess_9,8,49
101,red,5,guess_9,8,49
102,orange,4,guess_9,5,49
103,orange,1,guess_9,8,49
104,orange,1,guess_9,1,49
105,orange,1,guess_9,1,49
106,purple,2,guess_9,7,49
