balloon_id,balloon_color,pop_time,strategy_name,threshold,end_PnL
0,red,2,average_balloon,1,1
1,purple,1,average_balloon,1,1
2,purple,1,average_balloon,1,1
3,red,3,average_balloon,1,2
4,blue,1,average_balloon,1,2
5,blue,2,average_balloon,1,3
6,orange,1,average_balloon,1,3
7,purple,1,average_balloon,1,3
8,red,2,average_balloon,1,4
9,blue,2,average_balloon,1,5
10,blue,2,average_balloon,1,6
11,purple,1,average_balloon,1,6
12,blue,2,average_balloon,1,7
13,red,1,average_balloon,1,7
14,purple,1,average_balloon,1,7
15,blue,2,average_balloon,1,8
16,purple,2,average_balloon,1,9
17,red,1,average_balloon,1,9
18,blue,1,average_balloon,1,9
19,orange,1,average_balloon,1,9
20,purple,1,average_balloon,1,9
21,blue,1,average_balloon,1,9
22,red,4,average_balloon,1,10
23,orange,1,average_balloon,1,10
24,blue,1,average_balloon,1,10
25,orange,2,average_balloon,1,11
26,orange,1,average_balloon,1,11
27,red,14,average_balloon,1,12
28,blue,4,average_balloon,1,13
29,red,1,average_balloon,1,13
30,red,5,average_balloon,1,14
31,purple,1,average_balloon,1,14
32,purple,1,average_balloon,1,14
33,red,2,average_balloon,1,15
34,red,12,average_balloon,1,16
35,orange,3,average_balloon,1,17
36,purple,1,average_balloon,1,17
37,blue,1,average_balloon,1,17
38,red,23,average_balloon,1,18
39,red,4,average_balloon,1,19
40,red,7,average_balloon,1,20
41,purple,1,average_balloon,1,20
42,blue,2,average_balloon,1,21
43,purple,1,average_balloon,1,21
44,blue,2,average_balloon,1,22
45,blue,3,average_balloon,1,23
46,red,10,average_balloon,1,24
47,purple,1,average_balloon,1,24
48,blue,2,average_balloon,1,25
49,purple,1,average_balloon,1,25
50,red,8,average_balloon,1,26
51,red,7,average_balloon,1,27
52,red,4,average_balloon,1,28
53,purple,1,average_balloon,1,28
54,red,1,average_balloon,1,28
55,orange,1,average_balloon,1,28
56,orange,1,average_balloon,1,28
57,blue,4,average_balloon,1,29
58,purple,1,average_balloon,1,29
59,orange,2,average_balloon,1,30
60,blue,2,average_balloon,1,31
61,red,1,average_balloon,1,31
62,orange,3,average_balloon,1,32
63,purple,2,average_balloon,1,33
64,purple,1,average_balloon,1,33
65,blue,1,average_balloon,1,33
66,orange,1,average_balloon,1,33
67,orange,1,average_balloon,1,33
68,orange,1,average_balloon,1,33
69,purple,2,average_balloon,1,34
70,blue,1,average_balloon,1,34
